Int rate	A	AA	Ratio	Bondrate	Maturity	Prime
1.475000000e+001	0.000000000e+000	0.000000000e+000	2.010000000e+000	1.257000000e+001	1.000000000e+001	2.050000000e+001
1.450000000e+001	0.000000000e+000	0.000000000e+000	2.530000000e+000	1.257000000e+001	1.000000000e+001	2.000000000e+001
1.413000000e+001	1.000000000e+000	0.000000000e+000	2.100000000e+000	1.257000000e+001	1.000000000e+001	2.000000000e+001
1.463000000e+001	0.000000000e+000	1.000000000e+000	4.130000000e+000	1.214000000e+001	3.000000000e+001	2.000000000e+001
1.400000000e+001	1.000000000e+000	0.000000000e+000	2.100000000e+000	1.257000000e+001	1.000000000e+001	2.000000000e+001
1.338000000e+001	0.000000000e+000	1.000000000e+000	3.970000000e+000	1.257000000e+001	1.000000000e+001	2.000000000e+001
1.457000000e+001	0.000000000e+000	1.000000000e+000	3.270000000e+000	1.214000000e+001	3.000000000e+001	2.000000000e+001
1.388000000e+001	1.000000000e+000	0.000000000e+000	3.500000000e+000	1.319000000e+001	1.000000000e+001	1.950000000e+001
1.538000000e+001	0.000000000e+000	0.000000000e+000	2.850000000e+000	1.319000000e+001	1.000000000e+001	1.950000000e+001
1.563000000e+001	0.000000000e+000	0.000000000e+000	1.810000000e+000	1.312000000e+001	1.000000000e+001	1.850000000e+001
1.588000000e+001	1.000000000e+000	0.000000000e+000	2.720000000e+000	1.269000000e+001	3.000000000e+001	1.850000000e+001
1.500000000e+001	1.000000000e+000	0.000000000e+000	2.430000000e+000	1.312000000e+001	1.000000000e+001	1.800000000e+001
1.613000000e+001	0.000000000e+000	0.000000000e+000	3.270000000e+000	1.269000000e+001	3.000000000e+001	1.800000000e+001
1.525000000e+001	0.000000000e+000	1.000000000e+000	3.130000000e+000	1.269000000e+001	3.000000000e+001	1.750000000e+001
1.600000000e+001	0.000000000e+000	0.000000000e+000	2.550000000e+000	1.368000000e+001	1.000000000e+001	1.700000000e+001
1.625000000e+001	0.000000000e+000	0.000000000e+000	2.080000000e+000	1.368000000e+001	1.000000000e+001	1.750000000e+001
1.738000000e+001	0.000000000e+000	0.000000000e+000	2.120000000e+000	1.320000000e+001	3.000000000e+001	1.750000000e+001
1.635000000e+001	1.000000000e+000	0.000000000e+000	3.400000000e+000	1.410000000e+001	1.000000000e+001	1.900000000e+001
1.700000000e+001	1.000000000e+000	0.000000000e+000	2.630000000e+000	1.360000000e+001	3.000000000e+001	1.900000000e+001
1.600000000e+001	0.000000000e+000	1.000000000e+000	2.610000000e+000	1.410000000e+001	1.000000000e+001	1.950000000e+001
1.663000000e+001	1.000000000e+000	0.000000000e+000	2.060000000e+000	1.410000000e+001	1.000000000e+001	1.950000000e+001
1.638000000e+001	0.000000000e+000	0.000000000e+000	2.080000000e+000	1.410000000e+001	1.000000000e+001	2.000000000e+001
1.675000000e+001	1.000000000e+000	0.000000000e+000	2.090000000e+000	1.360000000e+001	3.000000000e+001	2.000000000e+001
1.513000000e+001	0.000000000e+000	1.000000000e+000	4.290000000e+000	1.269000000e+001	3.000000000e+001	2.000000000e+001
1.600000000e+001	1.000000000e+000	0.000000000e+000	2.500000000e+000	1.296000000e+001	3.000000000e+001	2.000000000e+001
1.450000000e+001	0.000000000e+000	1.000000000e+000	3.320000000e+000	1.347000000e+001	1.000000000e+001	2.000000000e+001
1.625000000e+001	0.000000000e+000	0.000000000e+000	2.950000000e+000	1.296000000e+001	3.000000000e+001	2.000000000e+001
1.688000000e+001	0.000000000e+000	0.000000000e+000	1.850000000e+000	1.428000000e+001	1.000000000e+001	2.050000000e+001
1.738000000e+001	0.000000000e+000	0.000000000e+000	1.550000000e+000	1.359000000e+001	3.000000000e+001	2.050000000e+001
1.600000000e+001	0.000000000e+000	1.000000000e+000	3.330000000e+000	1.428000000e+001	1.000000000e+001	2.050000000e+001
1.675000000e+001	1.000000000e+000	0.000000000e+000	2.770000000e+000	1.494000000e+001	1.000000000e+001	2.050000000e+001
1.713000000e+001	0.000000000e+000	0.000000000e+000	2.180000000e+000	1.494000000e+001	1.000000000e+001	2.050000000e+001
1.750000000e+001	0.000000000e+000	1.000000000e+000	4.210000000e+000	1.467000000e+001	3.000000000e+001	2.050000000e+001
1.700000000e+001	1.000000000e+000	0.000000000e+000	2.660000000e+000	1.532000000e+001	1.000000000e+001	1.950000000e+001
1.675000000e+001	0.000000000e+000	1.000000000e+000	3.580000000e+000	1.532000000e+001	1.000000000e+001	1.950000000e+001
1.720000000e+001	0.000000000e+000	1.000000000e+000	2.960000000e+000	1.532000000e+001	1.000000000e+001	1.950000000e+001
1.875000000e+001	0.000000000e+000	0.000000000e+000	1.930000000e+000	1.532000000e+001	1.000000000e+001	1.950000000e+001
1.750000000e+001	0.000000000e+000	1.000000000e+000	2.570000000e+000	1.468000000e+001	3.000000000e+001	1.900000000e+001
1.750000000e+001	0.000000000e+000	0.000000000e+000	3.180000000e+000	1.515000000e+001	1.000000000e+001	1.800000000e+001
1.800000000e+001	0.000000000e+000	0.000000000e+000	1.930000000e+000	1.515000000e+001	1.000000000e+001	1.800000000e+001
1.563000000e+001	0.000000000e+000	0.000000000e+000	2.200000000e+000	1.339000000e+001	1.000000000e+001	1.700000000e+001
1.475000000e+001	1.000000000e+000	0.000000000e+000	2.210000000e+000	1.339000000e+001	1.000000000e+001	1.700000000e+001
1.525000000e+001	0.000000000e+000	1.000000000e+000	3.240000000e+000	1.335000000e+001	3.000000000e+001	1.650000000e+001
1.575000000e+001	1.000000000e+000	0.000000000e+000	2.350000000e+000	1.335000000e+001	3.000000000e+001	1.650000000e+001
