Case	Salary	Bonus	OtherCom	Compens	Age	Educate	Backgrnd	Tenure	Exper	LnSales	Valuate	PctOwn	Profits	LnComp	Sales
1.000000000e+000	1.730000000e+002	2.750000000e+002	5.000000000e+000	4.530000000e+002	6.400000000e+001	2.000000000e+000	3.000000000e+000	4.000000000e+001	2.600000000e+001	6.770800000e+000	5.450000000e+001	3.140000000e+000	9.100000000e+001	6.115900000e+000	8.720000000e+002
2.000000000e+000	1.441000000e+003	4.290000000e+002	7.800000000e+001	1.948000000e+003	5.500000000e+001	1.000000000e+000	1.000000000e+000	2.300000000e+001	2.300000000e+001	7.112300000e+000	7.600000000e+000	5.500000000e-001	1.450000000e+002	7.574600000e+000	1.227000000e+003
3.000000000e+000	1.646000000e+003	0.000000000e+000	8.900000000e+001	1.735000000e+003	4.700000000e+001	2.000000000e+000	7.000000000e+000	5.000000000e+000	5.000000000e+000	7.445400000e+000	2.170000000e+001	5.200000000e-001	-4.700000000e+001	7.458800000e+000	1.712000000e+003
4.000000000e+000	2.940000000e+002	3.250000000e+002	2.400000000e+001	6.430000000e+002	6.500000000e+001	1.000000000e+000	3.000000000e+000	2.900000000e+001	2.300000000e+001	7.427100000e+000	8.900000000e+000	8.900000000e-001	4.400000000e+001	6.466100000e+000	1.681000000e+003
5.000000000e+000	1.254000000e+003	1.050000000e+002	1.020000000e+002	1.461000000e+003	6.300000000e+001	1.000000000e+000	6.000000000e+000	2.300000000e+001	8.000000000e+000	8.643500000e+000	3.600000000e+000	5.000000000e-002	2.010000000e+002	7.286900000e+000	5.673000000e+003
6.000000000e+000	3.250000000e+002	2.500000000e+001	7.000000000e+000	3.570000000e+002	5.400000000e+001	2.000000000e+000	5.000000000e+000	2.000000000e+001	1.000000000e+000	7.018400000e+000	5.000000000e-001	6.000000000e-002	7.100000000e+001	5.877700000e+000	1.117000000e+003
7.000000000e+000	6.580000000e+002	0.000000000e+000	1.100000000e+001	6.690000000e+002	6.100000000e+001	2.000000000e+000	5.000000000e+000	2.000000000e+000	2.000000000e+000	7.296400000e+000	7.000000000e-001	5.000000000e-002	-1.870000000e+002	6.505800000e+000	1.475000000e+003
8.000000000e+000	1.723000000e+003	2.890000000e+002	8.200000000e+001	2.094000000e+003	6.300000000e+001	1.000000000e+000	3.000000000e+000	4.100000000e+001	8.000000000e+000	9.289000000e+000	5.900000000e+000	4.000000000e-002	1.166000000e+003	7.646800000e+000	1.081800000e+004
9.000000000e+000	5.040000000e+002	6.900000000e+001	2.400000000e+001	5.970000000e+002	5.700000000e+001	2.000000000e+000	5.000000000e+000	2.700000000e+001	1.300000000e+001	7.895800000e+000	1.400000000e+000	3.000000000e-002	3.770000000e+002	6.391900000e+000	2.686000000e+003
1.000000000e+001	8.220000000e+002	3.800000000e+001	2.900000000e+001	8.890000000e+002	5.600000000e+001	2.000000000e+000	1.000000000e+000	5.000000000e+000	5.000000000e+000	7.696700000e+000	7.000000000e-001	3.000000000e-002	2.240000000e+002	6.790100000e+000	2.201000000e+003
1.100000000e+001	3.740000000e+002	1.290000000e+002	1.100000000e+001	5.140000000e+002	5.700000000e+001	2.000000000e+000	4.000000000e+000	3.000000000e+000	3.000000000e+000	6.493800000e+000	4.100000000e+000	1.700000000e-001	7.900000000e+001	6.242200000e+000	6.610000000e+002
1.200000000e+001	4.470000000e+002	1.100000000e+001	8.000000000e+000	4.660000000e+002	4.800000000e+001	2.000000000e+000	1.000000000e+000	1.700000000e+001	1.000000000e+000	7.338900000e+000	2.000000000e-001	1.000000000e-002	1.890000000e+002	6.144200000e+000	1.539000000e+003
1.300000000e+001	2.781000000e+003	0.000000000e+000	5.200000000e+001	2.833000000e+003	5.000000000e+001	1.000000000e+000	3.000000000e+000	4.000000000e+000	4.000000000e+000	9.364200000e+000	1.170000000e+001	3.900000000e-001	-3.320000000e+002	7.949100000e+000	1.166300000e+004
1.400000000e+001	1.280000000e+002	2.820000000e+002	1.700000000e+001	4.270000000e+002	5.400000000e+001	1.000000000e+000	8.000000000e+000	3.100000000e+001	1.500000000e+001	7.769000000e+000	7.140000000e+001	1.009000000e+001	5.500000000e+001	6.056800000e+000	2.366000000e+003
1.500000000e+001	1.782000000e+003	0.000000000e+000	7.400000000e+001	1.856000000e+003	6.000000000e+001	2.000000000e+000	7.000000000e+000	3.300000000e+001	3.000000000e+000	8.489600000e+000	4.000000000e-001	3.000000000e-002	-5.070000000e+002	7.526200000e+000	4.864000000e+003
