Year	Subscribers
1.982000000e+003	2.100000000e+004
1.983000000e+003	2.500000000e+004
1.984000000e+003	3.000000000e+004
1.985000000e+003	3.200000000e+004
1.986000000e+003	3.750000000e+004
1.987000000e+003	4.110000000e+004
1.988000000e+003	4.400000000e+004
1.989000000e+003	4.750000000e+004
1.990000000e+003	5.000000000e+004
1.991000000e+003	5.100000000e+004
1.992000000e+003	5.300000000e+004
1.993000000e+003	5.500000000e+004
1.994000000e+003	5.700000000e+004
1.995000000e+003	5.800000000e+004
1.996000000e+003	6.028000000e+004
1.997000000e+003	6.405000000e+004
1.998000000e+003	6.417000000e+004
