C1	C2	C3	C4	C5	C6	C7
7.000000000e+000	4.000000000e+001	3.200000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	2.000000000e+000
8.500000000e+000	2.000000000e+001	4.700000000e+001	1.000000000e+000	0.000000000e+000	1.000000000e+000	2.000000000e+000
9.000000000e+000	4.500000000e+001	1.800000000e+001	1.000000000e+000	1.000000000e+000	1.000000000e+000	1.000000000e+000
8.000000000e+000	1.100000000e+002	3.200000000e+001	1.000000000e+000	0.000000000e+000	1.000000000e+000	3.000000000e+000
8.000000000e+000	3.000000000e+001	5.400000000e+001	1.000000000e+000	0.000000000e+000	1.000000000e+000	2.000000000e+000
7.000000000e+000	5.000000000e+001	3.000000000e+001	1.000000000e+000	0.000000000e+000	1.000000000e+000	3.000000000e+000
7.750000000e+000	3.500000000e+001	3.000000000e+001	1.000000000e+000	0.000000000e+000	1.000000000e+000	2.000000000e+000
8.000000000e+000	1.800000000e+001	4.000000000e+001	1.000000000e+000	0.000000000e+000	1.000000000e+000	1.000000000e+000
8.500000000e+000	2.300000000e+001	6.000000000e+001	1.000000000e+000	1.000000000e+000	1.000000000e+000	1.000000000e+000
8.500000000e+000	9.000000000e+000	6.000000000e+001	1.000000000e+000	0.000000000e+000	1.000000000e+000	3.000000000e+000
9.000000000e+000	5.200000000e+001	5.000000000e+001	1.000000000e+000	1.000000000e+000	1.000000000e+000	2.000000000e+000
7.000000000e+000	2.500000000e+001	2.100000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000	1.000000000e+000
9.000000000e+000	2.500000000e+002	3.000000000e+001	1.000000000e+000	0.000000000e+000	1.000000000e+000	2.000000000e+000
8.500000000e+000	1.400000000e+002	7.000000000e+001	1.000000000e+000	1.000000000e+000	1.000000000e+000	2.000000000e+000
9.000000000e+000	1.200000000e+002	8.000000000e+001	1.000000000e+000	1.000000000e+000	1.000000000e+000	1.000000000e+000
7.500000000e+000	6.000000000e+001	5.000000000e+001	1.000000000e+000	1.000000000e+000	1.000000000e+000	2.000000000e+000
8.500000000e+000	1.200000000e+002	3.500000000e+001	1.000000000e+000	0.000000000e+000	1.000000000e+000	2.000000000e+000
9.000000000e+000	1.730000000e+002	2.500000000e+001	1.000000000e+000	1.000000000e+000	1.000000000e+000	2.000000000e+000
8.000000000e+000	1.000000000e+002	7.500000000e+001	1.000000000e+000	0.000000000e+000	1.000000000e+000	2.000000000e+000
9.500000000e+000	1.340000000e+002	3.500000000e+001	1.000000000e+000	1.000000000e+000	1.000000000e+000	1.000000000e+000
7.500000000e+000	1.140000000e+002	1.200000000e+002	0.000000000e+000	1.000000000e+000	1.000000000e+000	2.000000000e+000
7.500000000e+000	2.000000000e+000	1.700000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000	2.000000000e+000
7.500000000e+000	3.200000000e+001	1.500000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000	3.000000000e+000
9.000000000e+000	2.500000000e+001	3.000000000e+001	1.000000000e+000	1.000000000e+000	1.000000000e+000	2.000000000e+000
7.500000000e+000	6.600000000e+001	1.000000000e+002	1.000000000e+000	0.000000000e+000	1.000000000e+000	2.000000000e+000
