Company	Sales	Employees	Capital	Intangibles	Cost of Goods	Labor Exp.	Ad. Exp.	Research
1.000000000e+000	3.221800800e+003	4.200000000e+001	1.479000000e+002	3.060000000e+001	2.285200700e+003	5.997998000e+002	1.883000000e+002	2.800000000e+001
2.000000000e+000	1.690600100e+003	2.090500000e+001	9.300000000e+001	2.910000000e+001	1.057200200e+003	3.432000000e+002	1.149000000e+002	8.900000000e+000
3.000000000e+000	2.197276400e+003	3.900000000e+001	6.686700000e+001	5.586000000e+001	1.387067900e+003	6.613997000e+002	9.556800000e+001	1.118200000e+001
4.000000000e+000	2.357820600e+003	2.330000000e+001	5.955600000e+001	6.960800000e+001	1.743795200e+003	2.563200000e+001	5.191700000e+001	8.500000000e+000
5.000000000e+000	8.129000000e+003	3.500000000e+001	2.970000000e+002	2.900000000e+001	7.423000000e+003	1.178000000e+003	1.280000000e+001	9.253000000e+000
6.000000000e+000	1.185100000e+004	2.300000000e+001	3.940000000e+002	2.000000000e+001	1.094200000e+004	2.556000000e+003	1.165300000e+001	1.460000000e+001
7.000000000e+000	3.238606000e+002	3.900000000e+000	2.590000000e+000	4.288000000e+000	2.335300000e+002	2.283500000e+001	3.529000000e+000	3.073200000e+001
8.000000000e+000	6.604856000e+002	8.378000000e+000	1.098400000e+001	3.372000000e+000	5.822649000e+002	2.562500000e+001	4.499900000e+001	6.487300000e+001
9.000000000e+000	4.351160100e+003	5.091200000e+001	1.027080000e+002	2.170920000e+002	4.156867100e+003	1.283600000e+001	6.626400000e+001	8.779000000e+000
1.000000000e+001	9.588357000e+002	5.500000000e+000	1.660100000e+001	2.959000000e+001	8.741287000e+002	1.950000000e+001	1.123860000e+002	1.836500000e+001
1.100000000e+001	3.802558100e+003	3.960000000e+001	2.061020000e+002	1.573520000e+002	2.997270300e+003	5.180000000e+002	1.397290000e+002	1.641300000e+001
1.200000000e+001	2.576046400e+003	2.260000000e+001	5.066900000e+001	4.507900000e+001	1.885905300e+003	3.494910000e+002	4.881700000e+001	9.500000000e+000
1.300000000e+001	1.060160000e+002	2.800000000e+001	1.312000000e+000	4.200000000e+001	8.465900000e+001	3.555500000e+001	2.293700000e+001	8.733000000e+000
1.400000000e+001	5.669894500e+003	4.688100000e+001	1.030000000e+002	3.110000000e+001	4.424300700e+003	7.850000000e+002	1.413000000e+002	1.850000000e+001
1.500000000e+001	3.196570000e+002	2.894000000e+000	4.577000000e+000	2.209000000e+000	2.466980000e+002	4.283700000e+001	8.700000000e+001	1.100000000e+000
1.600000000e+001	5.117217000e+002	1.010000000e+001	1.956000000e+001	2.700000000e+001	2.862288000e+002	4.899900000e+001	1.870000000e+000	2.365200000e+001
1.700000000e+001	8.846189000e+002	2.280100000e+001	5.809400000e+001	3.300000000e+001	4.674436000e+002	3.650000000e+001	1.603500000e+001	2.963200000e+001
1.800000000e+001	1.663750000e+002	2.300000000e+000	3.951000000e+000	5.289000000e+000	1.110310000e+002	3.100000000e+001	4.023000000e+000	3.854200000e+001
1.900000000e+001	5.913100000e+001	1.800000000e+001	1.140000000e+000	1.450000000e+001	4.374300000e+001	2.632100000e+001	9.032500000e+001	5.698200000e+001
2.000000000e+001	1.366970000e+002	3.100000000e+000	2.009000000e+000	1.849300000e+001	1.053300000e+002	1.588800000e+001	4.630000000e+001	8.633000000e+000
2.100000000e+001	7.678799000e+002	8.100000000e+000	3.742500000e+001	1.805600000e+001	5.193948000e+002	1.121350000e+002	2.184700000e+001	2.786000000e+000
2.200000000e+001	6.132800000e+001	1.139000000e+000	1.388000000e+000	2.632500000e+001	3.520200000e+001	1.731400000e+001	2.427000000e+000	8.852300000e+001
2.300000000e+001	4.456387000e+002	5.800000000e+000	1.897800000e+001	1.260000000e+001	2.132880000e+002	1.210000000e+001	6.280600000e+001	1.460000000e+000
2.400000000e+001	2.259631600e+003	1.602700000e+001	2.287270000e+002	2.733500000e+001	1.696377200e+003	4.218057000e+002	1.165990000e+002	9.600000000e+000
2.500000000e+001	6.248040000e+002	8.700000000e+000	8.640300000e+001	2.808000000e+000	4.084707000e+002	1.680200000e+002	3.347000000e+001	9.444000000e+000
2.600000000e+001	3.299578000e+002	4.000000000e+000	1.494600000e+001	8.371000000e+000	2.250410000e+002	2.098500000e+001	1.297900000e+001	3.200000000e+001
2.700000000e+001	3.087327000e+002	2.107000000e+000	1.480800000e+001	4.359200000e+001	2.391300000e+002	3.650000000e+001	1.812200000e+001	1.851000000e+000
2.800000000e+001	5.989507000e+002	5.000000000e+000	3.971500000e+001	2.789200000e+001	4.819436000e+002	4.500000000e+001	3.982300000e+001	7.500000000e-001
2.900000000e+001	1.727920000e+002	1.576000000e+000	1.659000000e+000	2.354200000e+001	1.187090000e+002	4.820000000e+001	7.909000000e+000	2.633300000e+001
3.000000000e+001	9.108406000e+002	7.000000000e+000	1.446100000e+001	5.588000000e+000	6.772527000e+002	7.000000000e+000	5.821300000e+001	1.800000000e+000
3.100000000e+001	1.421830000e+002	1.600000000e+000	5.588000000e+000	7.251900000e+001	1.269660000e+002	1.600000000e+000	2.731000000e+000	5.727100000e+001
3.200000000e+001	4.250828000e+002	6.833000000e+000	7.251900000e+001	3.180300000e+001	2.562837000e+002	6.833000000e+000	1.214400000e+001	4.415500000e+001
3.300000000e+001	4.337914000e+003	3.610000000e+001	3.060220000e+002	1.014290000e+002	2.344163100e+003	3.610000000e+001	2.702576000e+002	1.611000000e+001
3.400000000e+001	2.710076000e+002	2.078000000e+000	2.712300000e+001	6.503000000e+000	1.343790000e+002	3.577300000e+001	2.025400000e+001	8.748300000e+001
3.500000000e+001	2.094520000e+002	2.998000000e+000	1.446900000e+001	1.460600000e+001	1.764890000e+002	2.078000000e+000	1.897000000e+000	7.149990000e+002
3.600000000e+001	6.241800000e+001	3.800000000e+000	3.739000000e+000	7.668000000e+000	3.447000000e+001	2.998000000e+000	4.405000000e+001	1.213300000e+002
3.700000000e+001	4.300000000e+003	9.550000000e+001	4.122886000e+002	1.576030000e+002	2.108550300e+003	5.100000000e+000	2.576807000e+002	1.164400000e+001
3.800000000e+001	3.906829000e+002	5.100000000e+000	3.084800000e+001	1.085500000e+001	2.251080000e+002	6.300000000e+000	1.837800000e+001	3.347700000e+001
3.900000000e+001	2.700127000e+002	6.300000000e+000	4.003400000e+001	2.245400000e+001	1.898000000e+002	2.000000000e+000	4.908000000e+000	4.374300000e+001
4.000000000e+001	9.796600000e+001	2.000000000e+000	6.994000000e+000	5.250000000e+000	6.459200000e+001	3.197000000e+001	2.590000000e+000	1.897000000e+001
4.100000000e+001	6.640900000e+001	1.252610000e+001	3.757000000e+000	1.009000000e+000	5.723100000e+001	3.320000000e+001	5.913000000e+001	1.494600000e+001
4.100000000e+001	6.640900000e+001	1.252610000e+001	3.757000000e+000	1.009000000e+000	5.723100000e+001	3.320000000e+001	5.913000000e+001	1.494600000e+001
4.200000000e+001	5.655500000e+001	3.900000000e+000	1.624000000e+000	6.994000000e+000	4.405500000e+001	5.350000000e+001	1.956000000e+001	1.659000000e+000
4.300000000e+001	3.267955100e+003	3.197900000e+001	5.020398000e+002	4.561400000e+001	2.517756600e+003	7.548977000e+002	3.951000000e+000	5.772100000e+001
4.400000000e+001	2.745743900e+003	4.396800000e+001	2.510340000e+002	1.611100000e+001	1.638796900e+003	4.500000000e+001	1.612000000e+002	1.081480000e+002
4.500000000e+001	2.609000000e+003	3.320000000e+001	2.480001000e+002	1.000000000e+001	1.874000000e+003	5.640000000e+002	1.800000000e+001	8.300000000e+001
4.600000000e+001	1.677601600e+003	1.164400000e+001	2.846089000e+002	8.748300000e+001	1.185971700e+003	2.445300000e+001	6.484000000e+000	3.613100000e+001
4.700000000e+001	6.887621000e+003	5.350000000e+001	1.075171900e+003	8.403900000e+001	4.721957000e+003	1.375799600e+003	4.407000000e+001	2.314690000e+002
4.800000000e+001	1.058419900e+004	1.321400000e+002	7.142002000e+002	2.260000000e+001	7.353500000e+003	3.204268800e+003	9.340000000e+001	3.771001000e+002
4.900000000e+001	2.912764400e+003	4.585400000e+001	1.952680000e+002	4.564300000e+001	2.189529300e+003	8.796548000e+002	1.494600000e+001	6.605600000e+001
5.000000000e+001	4.309582000e+003	6.680000000e+001	2.753079000e+002	6.731200000e+001	2.913903600e+003	9.933997000e+002	1.659000000e+000	4.054700000e+001
5.100000000e+001	1.946476600e+003	2.445300000e+001	1.213300000e+002	6.292000000e+000	1.403497600e+003	5.460508000e+002	3.520200000e+001	4.008100000e+001
5.200000000e+001	9.254117100e+003	1.512000000e+002	1.431090600e+003	1.213300000e+002	6.187785100e+003	2.125201200e+003	9.595100000e+001	3.348057000e+002
5.300000000e+001	5.018691400e+003	6.285100000e+001	4.798997000e+002	1.624000000e+000	3.478098900e+003	1.318099900e+003	9.253000000e+000	1.443000000e+002
5.400000000e+001	1.510779800e+003	1.530000000e+001	2.079320000e+002	6.351900000e+001	1.157211700e+003	1.397000000e+001	2.766600000e+001	3.971500000e+001
5.500000000e+001	1.560075000e+003	2.270000000e+001	1.625190000e+002	6.193800000e+001	1.188912600e+003	1.843400000e+001	1.931900000e+001	2.470100000e+001
5.600000000e+001	2.794000000e+003	3.740000000e+001	2.560999000e+002	7.300000000e+000	1.928498800e+003	7.807996000e+002	1.836500000e+001	7.010000000e+001
5.700000000e+001	9.213689000e+002	1.397000000e+001	6.193800000e+001	1.843400000e+001	5.977000000e+002	4.516400000e+001	1.920200000e+001	2.265000000e+001
5.800000000e+001	1.253543000e+003	1.305800000e+001	6.643100000e+001	1.397000000e+001	8.066758000e+002	2.365000000e+002	3.200000000e+001	4.865100000e+001
5.900000000e+001	1.328113800e+003	1.311600000e+001	2.011960000e+002	3.127300000e+001	8.518938000e+002	1.155000000e+000	3.127300000e+001	3.356200000e+001
6.000000000e+001	1.314629900e+003	2.734600000e+001	3.693300000e+001	4.307500000e+001	5.697327000e+002	6.469000000e+000	1.744610000e+002	4.211600000e+001
6.100000000e+001	7.869691400e+003	1.133710000e+002	6.877998000e+002	9.020000000e+001	5.580597600e+003	1.931500500e+003	7.650000000e+001	1.559000000e+002
6.200000000e+001	7.305500000e+001	7.824000000e+000	2.656800000e+001	2.066500000e+001	3.899800000e+001	2.289900000e+001	4.307500000e+001	9.984300000e+001
6.300000000e+001	1.085090000e+002	8.743500000e+001	5.663000000e+000	3.738600000e+001	7.717400000e+001	3.699900000e+001	9.020000000e+001	1.650000000e+000
6.400000000e+001	1.422450700e+003	1.650000000e+001	1.004700000e+002	6.988200000e+001	1.060542000e+003	3.057000000e+002	6.397000000e+000	2.545200000e+001
6.500000000e+001	8.743500000e+001	7.655000000e+000	8.515000000e+000	1.537500000e+001	5.139700000e+001	1.139400000e+001	6.988200000e+001	2.720000000e+000
6.600000000e+001	7.824000000e+000	9.528000000e+000	2.669500000e+001	7.764000000e+000	6.786000000e+000	2.057200000e+001	4.210000000e+000	5.217800000e+001
6.700000000e+001	8.687107000e+002	1.534000000e+001	4.240400000e+001	1.212000000e+000	6.860518000e+002	2.004850000e+002	1.040000000e+001	2.272400000e+001
6.800000000e+001	1.373950000e+002	2.875000000e+000	1.410800000e+001	9.747000000e+000	1.122350000e+002	3.076200000e+001	8.315800000e+001	1.900000000e+000
6.900000000e+001	7.538848000e+002	6.548000000e+000	2.428700000e+001	4.212000000e+000	5.965076000e+002	1.340000000e+001	8.882500000e+001	6.420000000e+000
7.000000000e+001	1.445016600e+003	2.700300000e+001	8.414900000e+001	9.990800000e+001	7.868777000e+002	1.936000000e+000	3.986500000e+001	7.618700000e+001
7.100000000e+001	3.062631600e+003	4.961900000e+001	6.763100000e+001	8.315800000e+001	1.446522700e+003	6.689910000e+002	2.430450000e+002	7.452400000e+001
7.200000000e+001	2.450428500e+003	3.260000000e+001	8.192200000e+001	8.882500000e+001	9.069639000e+002	6.712000000e+000	4.232698000e+002	9.057300000e+001
7.300000000e+001	1.412580000e+002	1.304000000e+000	4.505000000e+000	6.730000000e+000	9.515400000e+001	3.700000000e+000	9.904000000e+000	9.758000000e+000
7.400000000e+001	6.803000000e+000	5.100000000e+000	9.523000000e+000	1.459000000e+000	2.398000000e+000	1.224900000e+001	7.230000000e-001	1.194900000e+001
7.500000000e+001	1.852089600e+003	2.540000000e+001	8.955000000e+001	5.779000000e+001	6.727947000e+002	4.507000000e+000	2.849100000e+001	1.480770000e+002
7.600000000e+001	3.657217000e+002	4.903000000e+000	1.706200000e+001	1.671600000e+001	2.175420000e+002	3.472000000e+000	6.730000000e+000	1.189500000e+001
7.700000000e+001	1.981439700e+003	2.870000000e+001	1.558530000e+002	1.412700000e+002	6.687720000e+002	6.340596000e+002	5.529400000e+001	1.613500000e+002
7.800000000e+001	2.362132600e+003	4.070000000e+001	1.101000000e+002	9.984300000e+001	1.055418700e+003	1.139400000e+001	7.570000000e+001	1.131280000e+002
7.900000000e+001	3.570696000e+002	5.550000000e+000	1.264300000e+001	5.217800000e+001	1.412700000e+002	2.133000000e+000	3.688600000e+001	1.895100000e+001
8.000000000e+001	2.203790000e+002	3.700000000e+000	1.078600000e+001	9.758000000e+000	6.712200000e+001	2.057200000e+001	7.161000000e+000	6.261000000e+000
