Year	Deposits
1.980000000e+003	4.000000000e+002
1.981000000e+003	3.440000000e+002
1.982000000e+003	4.000000000e+002
1.983000000e+003	6.850000000e+002
1.984000000e+003	7.050000000e+002
1.985000000e+003	8.150000000e+002
1.986000000e+003	9.410000000e+002
1.987000000e+003	9.370000000e+002
1.988000000e+003	9.260000000e+002
1.989000000e+003	8.940000000e+002
1.990000000e+003	9.240000000e+002
1.991000000e+003	1.045000000e+003
1.992000000e+003	1.187000000e+003
1.993000000e+003	1.219000000e+003
1.994000000e+003	1.150000000e+003
1.995000000e+003	1.135000000e+003
1.996000000e+003	1.272000000e+003
1.997000000e+003	1.397000000e+003
