Year	ActRev
1.975000000e+003	5.000000000e+000
1.976000000e+003	5.400000000e+000
1.977000000e+003	6.000000000e+000
1.978000000e+003	7.000000000e+000
1.979000000e+003	8.000000000e+000
1.980000000e+003	9.700000000e+000
1.981000000e+003	1.030000000e+001
1.982000000e+003	1.080000000e+001
1.983000000e+003	1.020000000e+001
1.984000000e+003	1.060000000e+001
1.985000000e+003	1.060000000e+001
1.986000000e+003	1.150000000e+001
1.987000000e+003	1.330000000e+001
1.988000000e+003	1.700000000e+001
1.989000000e+003	1.840000000e+001
1.990000000e+003	1.890000000e+001
1.991000000e+003	1.940000000e+001
1.992000000e+003	2.020000000e+001
1.993000000e+003	1.630000000e+001
1.994000000e+003	1.370000000e+001
1.995000000e+003	1.530000000e+001
1.996000000e+003	1.620000000e+001
