Year	Rate
1.960000000e+003	1.000000000e+000
1.961000000e+003	1.150000000e+000
1.962000000e+003	1.150000000e+000
1.963000000e+003	1.250000000e+000
1.964000000e+003	1.250000000e+000
1.965000000e+003	1.250000000e+000
1.966000000e+003	1.250000000e+000
1.967000000e+003	1.400000000e+000
1.968000000e+003	1.600000000e+000
1.969000000e+003	1.600000000e+000
1.970000000e+003	1.600000000e+000
1.971000000e+003	1.600000000e+000
1.972000000e+003	1.600000000e+000
1.973000000e+003	1.600000000e+000
1.974000000e+003	2.000000000e+000
1.975000000e+003	2.100000000e+000
1.976000000e+003	2.300000000e+000
1.977000000e+003	2.300000000e+000
1.978000000e+003	2.650000000e+000
1.979000000e+003	2.900000000e+000
1.980000000e+003	3.100000000e+000
1.981000000e+003	3.350000000e+000
1.982000000e+003	3.350000000e+000
1.983000000e+003	3.350000000e+000
1.984000000e+003	3.350000000e+000
1.985000000e+003	3.350000000e+000
1.986000000e+003	3.350000000e+000
1.987000000e+003	3.350000000e+000
1.988000000e+003	3.350000000e+000
1.989000000e+003	3.350000000e+000
1.990000000e+003	3.800000000e+000
1.991000000e+003	4.250000000e+000
1.992000000e+003	4.250000000e+000
1.993000000e+003	4.250000000e+000
1.994000000e+003	4.250000000e+000
1.995000000e+003	4.250000000e+000
1.996000000e+003	4.750000000e+000
1.997000000e+003	5.150000000e+000
