Year	Population
1.960000000e+003	1.806710000e+005
1.961000000e+003	1.836910000e+005
1.962000000e+003	1.865380000e+005
1.963000000e+003	1.892420000e+005
1.964000000e+003	1.918890000e+005
1.965000000e+003	1.943030000e+005
1.966000000e+003	1.965600000e+005
1.967000000e+003	1.987120000e+005
1.968000000e+003	2.007060000e+005
1.969000000e+003	2.026770000e+005
1.970000000e+003	2.050520000e+005
1.971000000e+003	2.076610000e+005
1.972000000e+003	2.098960000e+005
1.973000000e+003	2.119090000e+005
1.974000000e+003	2.138540000e+005
1.975000000e+003	2.159730000e+005
1.976000000e+003	2.180350000e+005
1.977000000e+003	2.202390000e+005
1.978000000e+003	2.225850000e+005
1.979000000e+003	2.250550000e+005
1.980000000e+003	2.277260000e+005
1.981000000e+003	2.299660000e+005
1.982000000e+003	2.321880000e+005
1.983000000e+003	2.343070000e+005
1.984000000e+003	2.363480000e+005
1.985000000e+003	2.384660000e+005
1.986000000e+003	2.406510000e+005
1.987000000e+003	2.428040000e+005
1.988000000e+003	2.450210000e+005
1.989000000e+003	2.473420000e+005
1.990000000e+003	2.499480000e+005
1.991000000e+003	2.526390000e+005
1.992000000e+003	2.553740000e+005
1.993000000e+003	2.580830000e+005
1.994000000e+003	2.605990000e+005
1.995000000e+003	2.630440000e+005
1.996000000e+003	2.654630000e+005
1.997000000e+003	2.680080000e+005
1.998000000e+003	2.705610000e+005
