Year	Dollar
1.960000000e+003	3.373000000e+000
1.961000000e+003	3.340000000e+000
1.962000000e+003	3.304000000e+000
1.963000000e+003	3.265000000e+000
1.964000000e+003	3.220000000e+000
1.965000000e+003	3.166000000e+000
1.966000000e+003	3.080000000e+000
1.967000000e+003	2.993000000e+000
1.968000000e+003	2.873000000e+000
1.969000000e+003	2.726000000e+000
1.970000000e+003	2.574000000e+000
1.971000000e+003	2.466000000e+000
1.972000000e+003	2.391000000e+000
1.973000000e+003	2.251000000e+000
1.974000000e+003	2.029000000e+000
1.975000000e+003	1.859000000e+000
1.976000000e+003	1.757000000e+000
1.977000000e+003	1.649000000e+000
1.978000000e+003	1.532000000e+000
1.979000000e+003	1.380000000e+000
1.980000000e+003	1.215000000e+000
1.981000000e+003	1.098000000e+000
1.982000000e+003	1.035000000e+000
1.983000000e+003	1.003000000e+000
1.984000000e+003	9.610000000e-001
1.985000000e+003	9.280000000e-001
1.986000000e+003	9.130000000e-001
1.987000000e+003	8.800000000e-001
1.988000000e+003	8.460000000e-001
1.989000000e+003	8.070000000e-001
1.990000000e+003	7.660000000e-001
1.991000000e+003	7.340000000e-001
1.992000000e+003	7.130000000e-001
1.993000000e+003	6.920000000e-001
1.994000000e+003	6.750000000e-001
1.995000000e+003	6.560000000e-001
1.996000000e+003	6.380000000e-001
1.997000000e+003	6.230000000e-001
1.998000000e+003	6.000000000e-001
