Emp. No.	Family Size
1.000000000e+000	3.000000000e+000
2.000000000e+000	2.000000000e+000
3.000000000e+000	7.000000000e+000
4.000000000e+000	3.000000000e+000
5.000000000e+000	4.000000000e+000
6.000000000e+000	2.000000000e+000
7.000000000e+000	3.000000000e+000
8.000000000e+000	1.000000000e+000
9.000000000e+000	5.000000000e+000
1.000000000e+001	3.000000000e+000
1.100000000e+001	2.000000000e+000
1.200000000e+001	3.000000000e+000
1.300000000e+001	4.000000000e+000
1.400000000e+001	1.000000000e+000
1.500000000e+001	2.000000000e+000
1.600000000e+001	2.000000000e+000
1.700000000e+001	4.000000000e+000
1.800000000e+001	4.000000000e+000
1.900000000e+001	3.000000000e+000
2.000000000e+001	2.000000000e+000
2.100000000e+001	1.000000000e+000
2.200000000e+001	5.000000000e+000
2.300000000e+001	2.000000000e+000
2.400000000e+001	1.000000000e+000
2.500000000e+001	4.000000000e+000
2.600000000e+001	3.000000000e+000
2.700000000e+001	2.000000000e+000
2.800000000e+001	3.000000000e+000
2.900000000e+001	6.000000000e+000
3.000000000e+001	1.000000000e+000
3.100000000e+001	2.000000000e+000
3.200000000e+001	4.000000000e+000
3.300000000e+001	3.000000000e+000
3.400000000e+001	2.000000000e+000
3.500000000e+001	1.000000000e+000
3.600000000e+001	2.000000000e+000
3.700000000e+001	4.000000000e+000
3.800000000e+001	1.000000000e+000
3.900000000e+001	4.000000000e+000
4.000000000e+001	2.000000000e+000
4.100000000e+001	1.000000000e+000
4.200000000e+001	3.000000000e+000
4.300000000e+001	5.000000000e+000
4.400000000e+001	2.000000000e+000
4.500000000e+001	1.000000000e+000
4.600000000e+001	4.000000000e+000
4.700000000e+001	3.000000000e+000
4.800000000e+001	5.000000000e+000
4.900000000e+001	2.000000000e+000
5.000000000e+001	4.000000000e+000
5.100000000e+001	1.000000000e+000
5.200000000e+001	6.000000000e+000
5.300000000e+001	2.000000000e+000
5.400000000e+001	5.000000000e+000
5.500000000e+001	4.000000000e+000
5.600000000e+001	1.000000000e+000
5.700000000e+001	2.000000000e+000
5.800000000e+001	1.000000000e+000
5.900000000e+001	5.000000000e+000
6.000000000e+001	2.000000000e+000
6.100000000e+001	7.000000000e+000
6.200000000e+001	1.000000000e+000
6.300000000e+001	2.000000000e+000
6.400000000e+001	6.000000000e+000
6.500000000e+001	4.000000000e+000
6.600000000e+001	1.000000000e+000
6.700000000e+001	2.000000000e+000
6.800000000e+001	1.000000000e+000
6.900000000e+001	2.000000000e+000
7.000000000e+001	4.000000000e+000
7.100000000e+001	3.000000000e+000
7.200000000e+001	7.000000000e+000
7.300000000e+001	2.000000000e+000
7.400000000e+001	6.000000000e+000
7.500000000e+001	2.000000000e+000
7.600000000e+001	7.000000000e+000
7.700000000e+001	3.000000000e+000
7.800000000e+001	6.000000000e+000
7.900000000e+001	4.000000000e+000
8.000000000e+001	2.000000000e+000
8.100000000e+001	3.000000000e+000
8.200000000e+001	5.000000000e+000
8.300000000e+001	2.000000000e+000
