Rent	Size
7.200000000e+002	1.000000000e+003
5.950000000e+002	9.000000000e+002
9.150000000e+002	1.200000000e+003
7.600000000e+002	8.100000000e+002
1.000000000e+003	1.210000000e+003
7.900000000e+002	8.600000000e+002
8.800000000e+002	1.135000000e+003
8.450000000e+002	9.600000000e+002
6.500000000e+002	8.000000000e+002
7.480000000e+002	9.600000000e+002
6.850000000e+002	6.500000000e+002
7.550000000e+002	9.700000000e+002
8.150000000e+002	1.000000000e+003
7.450000000e+002	1.000000000e+003
7.150000000e+002	1.000000000e+003
8.850000000e+002	1.180000000e+003
