Actual	Estimate
9.180000000e-001	5.750000000e-001
7.214000000e+000	6.127000000e+000
1.457700000e+001	1.121500000e+001
3.002800000e+001	2.819500000e+001
3.817300000e+001	3.010000000e+001
1.532000000e+001	2.109100000e+001
1.483700000e+001	8.659000000e+000
5.128400000e+001	4.063000000e+001
3.410000000e+001	3.780000000e+001
2.003000000e+000	1.803000000e+000
2.009900000e+001	1.804800000e+001
4.324000000e+000	8.102000000e+000
1.052300000e+001	1.073000000e+001
1.337100000e+001	8.947000000e+000
1.553000000e+000	3.157000000e+000
4.069000000e+000	3.540000000e+000
2.797300000e+001	3.740000000e+001
7.642000000e+000	7.650000000e+000
3.692000000e+000	1.370000000e+001
2.952200000e+001	2.900300000e+001
1.531700000e+001	1.463900000e+001
5.292000000e+000	5.292000000e+000
7.070000000e-001	9.600000000e-001
1.246000000e+000	1.240000000e+000
1.143000000e+000	1.419000000e+000
2.157100000e+001	3.893600000e+001
