Sales	DESE1
4.946000000e+003	5.620598958e+003
4.968000000e+003	5.670557292e+003
5.601000000e+003	5.744723958e+003
5.454000000e+003	5.820640625e+003
5.721000000e+003	5.774515625e+003
5.690000000e+003	5.863265625e+003
5.804000000e+003	5.846744792e+003
6.040000000e+003	5.817682292e+003
5.843000000e+003	5.900953125e+003
6.087000000e+003	5.941244792e+003
6.469000000e+003	5.856703125e+003
7.002000000e+003	5.767369792e+003
5.416000000e+003	6.090598958e+003
5.393000000e+003	6.095557292e+003
5.907000000e+003	6.050723958e+003
5.768000000e+003	6.134640625e+003
6.107000000e+003	6.160515625e+003
6.016000000e+003	6.189265625e+003
6.131000000e+003	6.173744792e+003
6.499000000e+003	6.276682292e+003
6.249000000e+003	6.306953125e+003
6.472000000e+003	6.326244792e+003
6.946000000e+003	6.333703125e+003
7.615000000e+003	6.380369792e+003
5.876000000e+003	6.550598958e+003
5.818000000e+003	6.520557292e+003
6.342000000e+003	6.485723958e+003
6.143000000e+003	6.509640625e+003
6.442000000e+003	6.495515625e+003
6.407000000e+003	6.580265625e+003
6.545000000e+003	6.587744792e+003
6.758000000e+003	6.535682292e+003
6.485000000e+003	6.542953125e+003
6.805000000e+003	6.659244792e+003
7.361000000e+003	6.748703125e+003
8.079000000e+003	6.844369792e+003
6.061000000e+003	6.735598958e+003
6.187000000e+003	6.889557292e+003
6.792000000e+003	6.935723958e+003
6.587000000e+003	6.953640625e+003
6.918000000e+003	6.971515625e+003
6.920000000e+003	7.093265625e+003
7.030000000e+003	7.072744792e+003
7.491000000e+003	7.268682292e+003
7.305000000e+003	7.362953125e+003
7.571000000e+003	7.425244792e+003
8.013000000e+003	7.400703125e+003
8.727000000e+003	7.492369792e+003
6.776000000e+003	7.450598958e+003
6.847000000e+003	7.549557292e+003
7.531000000e+003	7.674723958e+003
7.333000000e+003	7.699640625e+003
7.685000000e+003	7.738515625e+003
7.518000000e+003	7.691265625e+003
7.672000000e+003	7.714744792e+003
7.992000000e+003	7.769682292e+003
7.645000000e+003	7.702953125e+003
7.923000000e+003	7.777244792e+003
8.297000000e+003	7.684703125e+003
8.537000000e+003	7.302369792e+003
7.005000000e+003	7.679598958e+003
6.855000000e+003	7.557557292e+003
7.420000000e+003	7.563723958e+003
7.183000000e+003	7.549640625e+003
7.554000000e+003	7.607515625e+003
7.475000000e+003	7.648265625e+003
7.687000000e+003	7.729744792e+003
7.922000000e+003	7.699682292e+003
7.426000000e+003	7.483953125e+003
7.736000000e+003	7.590244792e+003
8.483000000e+003	7.870703125e+003
9.329000000e+003	8.094369792e+003
7.120000000e+003	7.794598958e+003
7.124000000e+003	7.826557292e+003
7.817000000e+003	7.960723958e+003
7.538000000e+003	7.904640625e+003
7.921000000e+003	7.974515625e+003
7.757000000e+003	7.930265625e+003
7.816000000e+003	7.858744792e+003
8.208000000e+003	7.985682292e+003
7.828000000e+003	7.885953125e+003
