Weight	MPG
6.000000000e+001	5.300000000e+000
5.500000000e+001	5.000000000e+000
8.000000000e+001	4.000000000e+000
7.200000000e+001	4.200000000e+000
7.500000000e+001	4.500000000e+000
6.300000000e+001	5.100000000e+000
4.800000000e+001	7.200000000e+000
7.900000000e+001	3.900000000e+000
8.200000000e+001	3.800000000e+000
7.200000000e+001	4.400000000e+000
5.800000000e+001	4.900000000e+000
6.000000000e+001	5.100000000e+000
7.400000000e+001	4.500000000e+000
8.000000000e+001	4.300000000e+000
5.300000000e+001	5.900000000e+000
6.100000000e+001	5.500000000e+000
8.000000000e+001	3.500000000e+000
6.800000000e+001	4.100000000e+000
7.600000000e+001	4.500000000e+000
7.500000000e+001	4.400000000e+000
6.300000000e+001	5.000000000e+000
6.500000000e+001	4.900000000e+000
7.200000000e+001	4.600000000e+000
8.100000000e+001	4.000000000e+000
6.400000000e+001	5.300000000e+000
7.800000000e+001	4.400000000e+000
6.200000000e+001	4.900000000e+000
8.300000000e+001	3.800000000e+000
7.900000000e+001	4.100000000e+000
6.100000000e+001	4.800000000e+000
6.300000000e+001	5.000000000e+000
6.200000000e+001	4.900000000e+000
7.700000000e+001	4.600000000e+000
7.600000000e+001	4.500000000e+000
5.100000000e+001	5.700000000e+000
7.400000000e+001	4.200000000e+000
7.800000000e+001	4.300000000e+000
5.000000000e+001	6.100000000e+000
7.900000000e+001	4.300000000e+000
5.500000000e+001	4.700000000e+000
