Y	X
4.850000000e+002	1.200000000e+001
5.120000000e+002	1.000000000e+001
6.250000000e+002	3.000000000e+000
5.850000000e+002	4.000000000e+000
3.180000000e+002	2.700000000e+001
4.050000000e+002	1.000000000e+001
3.790000000e+002	1.800000000e+001
4.970000000e+002	1.200000000e+001
3.160000000e+002	2.700000000e+001
3.510000000e+002	2.000000000e+001
5.250000000e+002	4.000000000e+000
3.950000000e+002	1.100000000e+001
3.270000000e+002	1.500000000e+001
3.080000000e+002	2.500000000e+001
6.030000000e+002	8.000000000e+000
3.210000000e+002	3.500000000e+001
4.260000000e+002	5.000000000e+000
4.100000000e+002	1.200000000e+001
5.150000000e+002	2.000000000e+000
4.980000000e+002	7.000000000e+000
3.570000000e+002	1.700000000e+001
4.290000000e+002	8.000000000e+000
4.010000000e+002	1.200000000e+001
