C1	C2
3.000000000e+000	2.500000000e+001
4.000000000e+000	3.600000000e+001
7.000000000e+000	4.100000000e+001
4.000000000e+000	2.700000000e+001
3.000000000e+000	3.500000000e+001
3.000000000e+000	3.100000000e+001
5.000000000e+000	3.500000000e+001
7.000000000e+000	4.100000000e+001
9.000000000e+000	5.600000000e+001
1.200000000e+001	6.000000000e+001
8.000000000e+000	5.100000000e+001
5.000000000e+000	3.300000000e+001
6.000000000e+000	3.700000000e+001
2.000000000e+000	3.100000000e+001
2.000000000e+000	2.900000000e+001
