Sales	C2
6028	1
5927	2
10515	3
32276	4
51920	5
31294	6
23573	7
36465	8
18959	9
13918	10
17987	11
15294	12
16850	13
12753	14
26901	15
61494	16
147862	17
57990	18
51318	19
53599	20
23038	21
41396	22
19330	23
22707	24
15395	25
30826	26
25589	27
103184	28
197608	29
68600	30
39909	31
91368	32
58781	33
59679	34
33443	35
53719	36
27773	37
36653	38
51157	39
217509	40
206229	41
110081	42
102893	43
128857	44
104776	45
111036	46
63701	47
82657	48
31416	49
48341	50
85651	51
242673	52
289554	53
164373	54
160608	55
176096	56
142363	57
114907	58
113552	59
127042	60
51604	61
80366	62
208938	63
263830	64
252216	65
219566	66
149082	67
213888	68
178947	69
133650	70
116946	71
164154	72
58843	73
82386	74
224803	75
354301	76
328263	77
313647	78
214561	79
337192	80
183482	81
144618	82
139750	83
184546	84
71043	85
152930	86
250559	87
409567	88
394747	89
272874	90
230303	91
375402	92
195409	93
173518	94
181702	95
258713	96
