Clients	Stamps	Index
182	*	110
136	*	108
99	*	105
77	*	104
75	*	104
63	*	102
87	*	103
73	*	101
83	*	102
82	*	102
74	*	99
75	*	99
102	*	102
121	*	105
128	*	106
128	*	107
112	*	105
122	*	106
104	*	105
108	*	105
97	*	103
141	*	105
97	*	103
87	*	101
145	*	108
103	*	105
113	*	105
150	*	108
100	*	104
131	*	108
96	*	105
92	*	105
88	*	103
118	*	105
102	*	104
98	*	104
101	*	104
153	*	109
138	*	109
107	*	103
100	*	103
114	*	104
78	*	99
106	*	102
94	*	101
93	*	101
103	*	102
104	*	102
150	24450	107
102	24761	106
151	25397	109
100	25617	105
100	25283	104
98	25242	103
97	25163	103
120	25184	106
98	25417	105
135	25411	106
141	25565	107
67	26543	99
127	26784	103
146	27044	106
175	27567	110
110	28080	108
153	28142	110
117	28412	105
121	28161	105
121	27936	106
131	28423	107
147	28366	107
121	29029	111
110	29035	112
171	29254	114
185	29962	116
172	30499	118
168	30879	119
142	30995	118
152	31356	120
151	30863	120
141	31288	121
128	31492	119
151	31577	121
121	31912	119
126	32050	120
166	32383	122
138	32625	118
175	33499	123
108	34076	118
112	34191	118
147	33788	120
168	33556	122
149	33751	120
145	33777	122
149	33769	123
169	34077	124
138	34232	122
152		125
151		125
199		130
