Sales	Expend.	LOGX	SQRTX	X*X	1/X
1.100000000e+000	3.900000000e+000	1.360976553e+000	1.974841766e+000	1.521000000e+001	2.564102564e-001
1.700000000e+000	4.900000000e+000	1.589235205e+000	2.213594362e+000	2.401000000e+001	2.040816327e-001
2.600000000e+000	7.600000000e+000	2.028148247e+000	2.756809750e+000	5.776000000e+001	1.315789474e-001
2.400000000e+000	6.800000000e+000	1.916922612e+000	2.607680962e+000	4.624000000e+001	1.470588235e-001
2.300000000e+000	5.900000000e+000	1.774952351e+000	2.428991560e+000	3.481000000e+001	1.694915254e-001
2.900000000e+000	9.100000000e+000	2.208274414e+000	3.016620626e+000	8.281000000e+001	1.098901099e-001
4.000000000e-001	3.400000000e+000	1.223775432e+000	1.843908891e+000	1.156000000e+001	2.941176471e-001
3.200000000e+000	1.160000000e+001	2.451005098e+000	3.405877273e+000	1.345600000e+002	8.620689655e-002
3.300000000e+000	1.410000000e+001	2.646174797e+000	3.754996671e+000	1.988100000e+002	7.092198582e-002
3.100000000e+000	1.490000000e+001	2.701361213e+000	3.860051813e+000	2.220100000e+002	6.711409396e-002
3.200000000e+000	1.050000000e+001	2.351375257e+000	3.240370349e+000	1.102500000e+002	9.523809524e-002
3.000000000e+000	9.900000000e+000	2.292534757e+000	3.146426545e+000	9.801000000e+001	1.010101010e-001
3.700000000e+000	1.710000000e+001	2.839078464e+000	4.135214626e+000	2.924100000e+002	5.847953216e-002
3.300000000e+000	1.240000000e+001	2.517696473e+000	3.521363372e+000	1.537600000e+002	8.064516129e-002
