Obs.	Y	X
1.000000000e+000	1.000000000e+000	1.000000000e+001
2.000000000e+000	8.999999762e-001	1.000000000e+001
3.000000000e+000	8.000000119e-001	1.000000000e+001
4.000000000e+000	1.299999952e+000	2.000000000e+001
5.000000000e+000	8.999999762e-001	2.000000000e+001
6.000000000e+000	6.000000238e-001	3.000000000e+001
7.000000000e+000	1.100000024e+000	3.000000000e+001
8.000000000e+000	1.000000000e+000	3.000000000e+001
9.000000000e+000	1.399999976e+000	4.000000000e+001
1.000000000e+001	1.399999976e+000	4.000000000e+001
1.100000000e+001	1.200000048e+000	4.000000000e+001
1.200000000e+001	1.700000048e+000	5.000000000e+001
1.300000000e+001	8.999999762e-001	5.000000000e+001
1.400000000e+001	1.200000048e+000	5.000000000e+001
1.500000000e+001	1.299999952e+000	5.000000000e+001
1.600000000e+001	6.999999881e-001	6.000000000e+001
1.700000000e+001	1.000000000e+000	6.000000000e+001
1.800000000e+001	1.299999952e+000	7.000000000e+001
1.900000000e+001	1.500000000e+000	7.000000000e+001
2.000000000e+001	2.000000000e+000	7.000000000e+001
2.100000000e+001	8.000000000e-001	8.000000000e+001
2.200000000e+001	6.000000238e-001	8.000000000e+001
2.300000000e+001	1.799999952e+000	8.000000000e+001
2.400000000e+001	1.000000000e+000	9.000000000e+001
2.500000000e+001	2.000000000e+000	1.000000000e+002
2.600000000e+001	5.000000000e-001	1.000000000e+002
2.700000000e+001	1.500000000e+000	1.000000000e+002
2.800000000e+001	1.299999952e+000	1.100000000e+002
2.900000000e+001	1.700000048e+000	1.100000000e+002
3.000000000e+001	1.200000048e+000	1.100000000e+002
3.100000000e+001	8.000000119e-001	1.100000000e+002
3.200000000e+001	1.000000000e+000	1.200000000e+002
3.300000000e+001	1.799999952e+000	1.200000000e+002
3.400000000e+001	2.099999905e+000	1.200000000e+002
3.500000000e+001	1.500000000e+000	1.300000000e+002
3.600000000e+001	1.899999976e+000	1.300000000e+002
3.700000000e+001	1.700000048e+000	1.400000000e+002
3.800000000e+001	1.200000048e+000	1.500000000e+002
3.900000000e+001	1.399999976e+000	1.500000000e+002
4.000000000e+001	2.099999905e+000	1.500000000e+002
4.100000000e+001	8.999999762e-001	1.600000000e+002
4.200000000e+001	1.100000024e+000	1.600000000e+002
4.300000000e+001	1.700000048e+000	1.600000000e+002
4.400000000e+001	2.000000000e+000	1.600000000e+002
4.500000000e+001	1.600000024e+000	1.700000000e+002
4.600000000e+001	1.899999976e+000	1.700000000e+002
4.700000000e+001	1.700000048e+000	1.700000000e+002
4.800000000e+001	2.200000048e+000	1.800000000e+002
4.900000000e+001	2.400000095e+000	1.800000000e+002
5.000000000e+001	1.600000024e+000	1.800000000e+002
5.100000000e+001	1.799999952e+000	1.900000000e+002
5.200000000e+001	4.099999905e+000	1.900000000e+002
5.300000000e+001	2.000000000e+000	1.900000000e+002
5.400000000e+001	1.500000000e+000	2.000000000e+002
5.500000000e+001	2.099999905e+000	2.000000000e+002
5.600000000e+001	2.500000000e+000	2.000000000e+002
5.700000000e+001	1.700000048e+000	2.200000000e+002
5.800000000e+001	2.000000000e+000	2.200000000e+002
5.900000000e+001	2.299999952e+000	2.200000000e+002
6.000000000e+001	1.799999952e+000	2.200000000e+002
6.100000000e+001	1.299999952e+000	2.300000000e+002
6.200000000e+001	1.600000024e+000	2.300000000e+002
6.300000000e+001	2.799999952e+000	2.300000000e+002
6.400000000e+001	2.200000048e+000	2.300000000e+002
6.500000000e+001	2.599999905e+000	2.300000000e+002
6.600000000e+001	1.399999976e+000	2.400000000e+002
6.700000000e+001	1.600000024e+000	2.400000000e+002
6.800000000e+001	1.700000048e+000	2.400000000e+002
6.900000000e+001	1.500000000e+000	2.500000000e+002
7.000000000e+001	2.200000048e+000	2.500000000e+002
7.100000000e+001	2.500000000e+000	2.500000000e+002
7.200000000e+001	2.400000095e+000	2.600000000e+002
7.300000000e+001	2.000000000e+000	2.600000000e+002
7.400000000e+001	2.700000048e+000	2.600000000e+002
7.500000000e+001	2.000000000e+000	2.700000000e+002
7.600000000e+001	2.200000048e+000	2.700000000e+002
7.700000000e+001	2.400000095e+000	2.700000000e+002
7.800000000e+001	1.799999952e+000	2.800000000e+002
7.900000000e+001	2.799999952e+000	2.900000000e+002
8.000000000e+001	2.200000048e+000	2.900000000e+002
8.100000000e+001	2.400000095e+000	2.900000000e+002
8.200000000e+001	2.099999905e+000	2.900000000e+002
8.300000000e+001	1.899999976e+000	2.900000000e+002
8.400000000e+001	2.400000095e+000	3.000000000e+002
8.500000000e+001	2.500000000e+000	3.000000000e+002
8.600000000e+001	2.900000095e+000	3.000000000e+002
8.700000000e+001	2.000000000e+000	3.000000000e+002
8.800000000e+001	1.899999976e+000	3.100000000e+002
8.900000000e+001	2.500000000e+000	3.100000000e+002
9.000000000e+001	2.599999905e+000	3.100000000e+002
9.100000000e+001	3.200000048e+000	3.200000000e+002
9.200000000e+001	2.799999952e+000	3.200000000e+002
9.300000000e+001	2.400000095e+000	3.200000000e+002
9.400000000e+001	2.500000000e+000	3.200000000e+002
9.500000000e+001	2.000000000e+000	3.300000000e+002
9.600000000e+001	2.400000095e+000	3.400000000e+002
9.700000000e+001	2.200000048e+000	3.400000000e+002
9.800000000e+001	2.000000000e+000	3.400000000e+002
9.900000000e+001	2.500000000e+000	3.500000000e+002
1.000000000e+002	2.799999952e+000	3.500000000e+002
1.010000000e+002	2.299999952e+000	3.500000000e+002
1.020000000e+002	2.700000048e+000	3.500000000e+002
