Parcel	Assessed	Market
1.000000000e+000	6.820000000e+001	8.740000000e+001
2.000000000e+000	7.460000000e+001	8.800000000e+001
3.000000000e+000	6.460000000e+001	8.720000000e+001
4.000000000e+000	8.020000000e+001	9.400000000e+001
5.000000000e+000	7.600000000e+001	9.420000000e+001
6.000000000e+000	7.800000000e+001	9.360000000e+001
7.000000000e+000	7.600000000e+001	8.840000000e+001
8.000000000e+000	7.700000000e+001	9.220000000e+001
9.000000000e+000	7.520000000e+001	9.040000000e+001
1.000000000e+001	7.240000000e+001	9.040000000e+001
1.100000000e+001	8.000000000e+001	9.360000000e+001
1.200000000e+001	7.640000000e+001	9.140000000e+001
1.300000000e+001	7.020000000e+001	8.960000000e+001
1.400000000e+001	7.580000000e+001	9.180000000e+001
1.500000000e+001	7.920000000e+001	9.480000000e+001
1.600000000e+001	7.400000000e+001	8.840000000e+001
1.700000000e+001	7.280000000e+001	9.360000000e+001
1.800000000e+001	8.040000000e+001	9.280000000e+001
1.900000000e+001	7.420000000e+001	9.060000000e+001
2.000000000e+001	8.000000000e+001	9.160000000e+001
2.100000000e+001	8.160000000e+001	9.280000000e+001
2.200000000e+001	7.560000000e+001	8.900000000e+001
2.300000000e+001	7.940000000e+001	9.180000000e+001
2.400000000e+001	8.220000000e+001	9.840000000e+001
2.500000000e+001	6.700000000e+001	8.980000000e+001
2.600000000e+001	7.200000000e+001	9.720000000e+001
2.700000000e+001	7.360000000e+001	9.520000000e+001
2.800000000e+001	7.140000000e+001	8.880000000e+001
2.900000000e+001	8.100000000e+001	9.740000000e+001
3.000000000e+001	8.060000000e+001	9.540000000e+001
