Team	PlayCosts	OpExpens
1.000000000e+000	2.980000000e+001	5.960000000e+001
2.000000000e+000	3.600000000e+001	7.200000000e+001
3.000000000e+000	3.520000000e+001	7.040000000e+001
4.000000000e+000	2.970000000e+001	6.240000000e+001
5.000000000e+000	3.540000000e+001	7.080000000e+001
6.000000000e+000	1.580000000e+001	3.950000000e+001
7.000000000e+000	1.800000000e+001	6.000000000e+001
8.000000000e+000	2.320000000e+001	4.640000000e+001
9.000000000e+000	2.900000000e+001	5.800000000e+001
1.000000000e+001	2.070000000e+001	4.760000000e+001
1.100000000e+001	3.040000000e+001	6.080000000e+001
1.200000000e+001	2.170000000e+001	4.340000000e+001
1.300000000e+001	3.920000000e+001	6.660000000e+001
1.400000000e+001	3.430000000e+001	6.170000000e+001
1.500000000e+001	3.330000000e+001	5.330000000e+001
1.600000000e+001	2.710000000e+001	4.880000000e+001
1.700000000e+001	2.440000000e+001	4.880000000e+001
1.800000000e+001	1.210000000e+001	3.150000000e+001
1.900000000e+001	2.490000000e+001	4.980000000e+001
2.000000000e+001	3.110000000e+001	5.440000000e+001
2.100000000e+001	2.040000000e+001	4.080000000e+001
2.200000000e+001	2.410000000e+001	4.820000000e+001
2.300000000e+001	1.740000000e+001	4.180000000e+001
2.400000000e+001	2.640000000e+001	5.020000000e+001
2.500000000e+001	1.950000000e+001	4.680000000e+001
2.600000000e+001	2.180000000e+001	4.360000000e+001
