City	Consumption	Families
1.000000000e+000	9.610000000e+002	8.600000000e+003
2.000000000e+000	4.690000000e+002	6.870000000e+003
3.000000000e+000	5.560000000e+002	9.880000000e+003
4.000000000e+000	1.252000000e+003	1.237000000e+004
5.000000000e+000	9.020000000e+002	6.920000000e+003
6.000000000e+000	1.399000000e+003	1.376000000e+004
7.000000000e+000	1.877000000e+003	7.450000000e+003
8.000000000e+000	9.210000000e+002	6.700000000e+003
9.000000000e+000	4.940000000e+002	7.420000000e+003
1.000000000e+001	5.300000000e+002	6.930000000e+003
1.100000000e+001	4.880000000e+002	7.400000000e+003
1.200000000e+001	1.253000000e+003	7.420000000e+003
1.300000000e+001	8.780000000e+002	8.330000000e+003
1.400000000e+001	6.370000000e+002	9.010000000e+003
1.500000000e+001	3.291000000e+003	1.179000000e+004
1.600000000e+001	2.470000000e+003	1.891000000e+004
1.700000000e+001	9.160000000e+002	8.550000000e+003
1.800000000e+001	5.250000000e+002	8.850000000e+003
1.900000000e+001	1.159000000e+003	8.540000000e+003
2.000000000e+001	1.138000000e+003	6.910000000e+003
2.100000000e+001	9.790000000e+002	7.060000000e+003
2.200000000e+001	1.899000000e+003	1.092000000e+004
2.300000000e+001	5.022000000e+003	1.480000000e+004
