Year	Time	Centers
1.993000000e+003	1.000000000e+000	1.000000000e+000
1.994000000e+003	2.000000000e+000	2.000000000e+000
1.995000000e+003	3.000000000e+000	2.000000000e+000
1.996000000e+003	4.000000000e+000	6.000000000e+000
1.997000000e+003	5.000000000e+000	1.000000000e+001
1.998000000e+003	6.000000000e+000	1.600000000e+001
1.999000000e+003	7.000000000e+000	2.500000000e+001
2.000000000e+003	8.000000000e+000	4.100000000e+001
2.001000000e+003	9.000000000e+000	6.000000000e+001
2.002000000e+003	1.000000000e+001	9.700000000e+001
2.003000000e+003	1.100000000e+001	1.500000000e+002
2.004000000e+003	1.200000000e+001	2.110000000e+002
2.005000000e+003	1.300000000e+001	3.820000000e+002
2.006000000e+003	1.400000000e+001	5.370000000e+002
