ABC	Comp.
9.903500000e+001	1.001040000e+002
1.043580000e+002	1.050320000e+002
9.943500000e+001	9.951700000e+001
9.693200000e+001	9.580800000e+001
9.890400000e+001	9.883500000e+001
1.016350000e+002	1.015630000e+002
1.000010000e+002	1.012370000e+002
9.823400000e+001	9.912300000e+001
9.384900000e+001	9.480300000e+001
9.941200000e+001	1.000630000e+002
9.994900000e+001	9.956400000e+001
1.040120000e+002	1.038890000e+002
9.947300000e+001	9.934800000e+001
1.005420000e+002	9.993600000e+001
9.684200000e+001	9.583400000e+001
9.920000000e+001	9.986300000e+001
1.016140000e+002	1.020100000e+002
9.950100000e+001	9.943200000e+001
1.008980000e+002	9.996500000e+001
9.700100000e+001	9.683800000e+001
1.000250000e+002	1.008040000e+002
1.030140000e+002	1.043000000e+002
9.870200000e+001	9.901000000e+001
1.018340000e+002	1.009360000e+002
1.029030000e+002	1.038340000e+002
