Year	Mon	Calls	Rate	Temp
1987	Jun	*	6.9940	*
*	Jul	*	6.8137	*
*	Aug	*	6.3648	*
*	Sep	*	6.5435	*
*	Oct	*	6.7826	*
*	Nov	*	6.9225	*
*	Dec	*	7.1560	*
1988	Jan	*	7.9143	*
*	Feb	*	7.7576	*
*	Mar	*	7.0641	*
*	Apr	*	6.0977	*
*	May	20002	5.7867	55.1
*	Jun	21591	5.7592	59.0
*	Jul	22696	5.5718	63.8
*	Aug	21509	5.2939	63.8
*	Sep	22123	5.4709	59.1
*	Oct	21449	5.5049	54.6
*	Nov	23475	5.8630	45.4
*	Dec	23529	6.1349	41.0
1989	Jan	23327	7.5474	40.3
*	Feb	24050	7.8157	34.3
*	Mar	24010	7.1390	43.2
*	Apr	19735	6.2637	52.5
*	May	20153	5.8332	55.3
*	Jun	19512	5.8077	62.4
*	Jul	19892	5.6713	62.9
*	Aug	20326	5.4977	63.5
*	Sep	19378	5.2989	60.9
*	Oct	21263	5.6028	51.9
*	Nov	21443	5.9143	46.2
*	Dec	23366	5.0000	41.8
1990	Jan	23836	6.1917	41.8
*	Feb	23336	6.3775	38.9
*	Mar	22003	5.7234	46.3
*	Apr	20155	4.7792	51.7
*	May	20070	4.5715	54.9
*	Jun	19588	4.3899	59.8
*	Jul	20804	4.2559	66.7
*	Aug	19644	3.9359	66.4
*	Sep	17424	3.9048	61.9
*	Oct	20833	4.4294	50.4
*	Nov	22490	5.1523	45.8
*	Dec	24861	5.5102	33.9
1991	Jan	23441	6.8901	37.9
*	Feb	19205	7.0308	46.9
*	Mar	20386	6.7186	43.4
*	Apr	19988	6.1280	49.1
*	May	19077	5.8146	54.3
*	Jun	19141	5.9480	58.2
*	Jul	20883	5.9026	65.4
*	Aug	20709	5.7227	66.0
*	Sep	19647	5.6877	60.9
*	Oct	22013	6.2922	51.0
*	Nov	22375	7.0615	46.2
*	Dec	22727	7.4370	42.4
1992	Jan	22367	8.4513	43.0
*	Feb	21155	8.7699	46.0
*	Mar	21209	8.0728	48.9
*	Apr	19286	7.2392	52.7
*	May	19725	7.0461	58.3
*	Jun	20276	7.0478	63.6
*	Jul	20795	7.1080	64.9
*	Aug	21126	6.7824	65.0
*	Sep	20251	6.7691	58.4
*	Oct	22069	7.5896	53.2
*	Nov	23268	7.9908	44.8
*	Dec	26039	8.2460	37.8
1993	Jan	26127	9.5301	34.9
