Pitcher	TEAM	ERA	WHIP	CMD	K/9	HR/9	OBA	THROWS
Armas Jr. WAS	5.03	1.50	1.5	5.7	1.1	339	1
Arroyo	CIN	3.29	1.19	2.9	6.9	1.2	289	1
Batista	ARI	4.58	1.53	1.3	4.8	0.8	343	1
Beckett	BOS	5.01	1.29	2.1	6.9	1.6	307	1
Bedard	BAL	3.76	1.35	2.5	7.8	0.7	316	0
Benson	BAL	4.82	1.40	1.5	4.3	1.6	325	1
Blanton	OAK	4.82	1.54	1.8	5.0	0.8	345	1
Bonderman DET	4.08	1.30	3.2	8.5	0.8	308	1
Bonser	MIN	4.22	1.28	3.5	7.5	1.6	304	1
Buchholz HOU	5.89	1.25	2.3	6.1	1.7	299	1
Buehrle	CHW	4.99	1.45	2.0	4.3	1.6	331	0
Burnett	TOR	3.98	1.30	3.0	7.8	0.9	309	1
Bush	MIL	4.41	1.14	4.4	7.1	1.1	280	1
Byrd	CLE	4.88	1.51	2.3	4.4	1.3	341	1
Cabrera	BAL	4.74	1.58	1.5	9.5	0.7	351	1
Cain	SF	4.15	1.28	2.1	8.4	0.8	305	1
Capuano	MIL	4.03	1.25	3.7	7.1	1.2	299	0
Carpenter STL	3.09	1.07	4.3	7.5	0.9	268	1
Carrasco LAA	3.41	1.20	2.7	6.5	0.9	291	1
Chacon	PIT	6.36	1.72	1.0	5.1	1.9	370	1
Clemens	HOU	2.30	1.04	3.5	8.1	0.6	263	1
Contreras CHW	4.27	1.27	2.4	6.2	0.9	303	1
Cook	COL	4.23	1.40	1.7	3.9	0.7	324	1
Davis	MIL	4.91	1.51	1.6	7.0	0.8	342	0
Duke	PIT	4.47	1.50	1.7	4.9	0.7	339	0
Elarton	KC	5.34	1.47	0.9	3.8	2.0	335	1
Escobar	LAA	3.61	1.28	2.9	7.0	0.8	304	1
Fogg	COL	5.49	1.55	1.6	4.9	1.3	346	1
Fossum	TAM	5.33	1.53	1.4	6.1	1.2	344	0
Francis	COL	4.16	1.29	1.7	5.3	0.8	306	0
Garcia	CHW	4.53	1.28	2.8	5.6	1.3	304	1
Garland	CHW	4.51	1.36	2.7	4.8	1.1	318	1
Glavine	NYM	3.82	1.33	2.1	6.0	1.0	313	0
Gonzalez ARI	5.67	1.39	1.9	5.6	1.2	323	1
Halladay TOR	3.19	1.10	3.9	5.4	0.8	274	1
Hamels	PHI	4.08	1.25	3.0	9.9	1.3	299	0
Harang	CIN	3.76	1.27	3.9	8.3	1.1	303	1
Haren	OAK	4.12	1.21	3.9	7.1	1.3	292	1
Hendrickson LAD	4.21	1.43	1.6	5.4	0.9	328	0
Hensley	SD	3.71	1.34	1.6	5.9	0.7	314	1
Hernandez SEA	4.52	1.34	2.9	8.3	1.1	314	1
Hernandez NYM	4.66	1.33	2.7	9.1	1.2	313	1
Hernandez KC	6.48	1.76	1.0	4.1	1.8	376	1
Hernandez ARI	4.83	1.50	1.6	5.3	1.2	339	1
Hudson	KC	5.12	1.44	1.7	5.6	0.6	330	1
Hudson	ATL	4.86	1.44	1.8	5.8	1.0	330	1
James	ATL	3.78	1.24	1.9	6.9	1.5	299	0
Jennings COL	3.78	1.37	1.7	6.0	0.7	320	1
Johnson	NYY	5.00	1.24	2.9	7.6	1.2	298	0
Johnson	FLA	3.10	1.30	2.0	7.6	0.8	308	1
Johnson	CIN	6.10	1.70	1.5	4.2	1.1	367	1
Kazmir	TAM	3.24	1.27	3.1	10.1	0.9	303	0
Kim	COL	5.57	1.55	2.1	7.5	1.0	347	1
Koronka	TEX	5.69	1.54	1.3	4.4	1.2	345	0
Lackey	LAA	3.56	1.26	2.6	7.9	0.6	302	1
Lee	CLE	4.40	1.41	2.2	5.8	1.3	325	0
Lidle	NYY	4.85	1.40	2.2	6.9	1.6	324	1
Lieber	PHI	4.93	1.31	4.2	5.4	1.4	310	1
Lilly	TOR	4.31	1.43	2.0	7.9	1.4	329	0
Liriano	MIN	2.16	1.00	4.5	10.7	0.7	255	0
Loaiza	OAK	4.89	1.42	2.4	5.6	1.0	327	1
Loewen	BAL	5.37	1.54	1.6	7.9	0.6	345	0
Lohse	CIN	5.83	1.53	2.2	6.9	1.1	344	1
Lopez	BAL	5.90	1.55	2.3	6.5	1.5	347	1
Lowe	LAD	3.63	1.27	2.2	5.1	0.6	302	1
Lowry	SF	4.74	1.39	1.5	4.7	1.2	323	0
Maddux	LAD	4.20	1.22	3.2	5.0	0.9	295	1
Madson	PHI	5.69	1.68	2.0	6.6	1.3	366	1
Maholm	PIT	4.76	1.61	1.4	6.0	1.0	355	0
Marquis	STL	6.02	1.52	1.3	4.4	1.6	343	1
Marshall CHC	5.59	1.52	1.3	5.5	1.4	342	0
Martinez NYM	4.48	1.11	3.5	9.3	1.3	275	1
McClung	TAM	6.29	1.83	0.9	5.2	1.2	385	1
Meche	SEA	4.48	1.43	1.9	7.5	1.2	329	1
Millwood TEX	4.52	1.31	3.0	6.6	1.0	309	1
Milton	CIN	5.19	1.34	2.1	5.3	1.7	315	0
Moehler	FLA	6.57	1.66	1.5	4.3	1.4	362	1
Morris	SF	4.98	1.35	1.9	5.1	1.0	317	1
Moyer	PHI	4.30	1.32	2.1	4.6	1.4	311	0
Mussina	NYY	3.51	1.11	4.9	7.8	1.0	275	1
Myers	PHI	3.91	1.30	3.0	8.6	1.3	308	1
Nolasco	FLA	4.82	1.41	2.4	6.4	1.3	326	1
O'Connor WAS	4.80	1.34	1.3	5.1	1.3	315	0
Olsen	FLA	4.04	1.30	2.2	8.3	1.1	308	0
Ortiz	WAS	5.57	1.54	1.6	4.9	1.5	346	1
Oswalt	HOU	2.98	1.17	4.4	6.8	0.7	286	1
Padilla	TEX	4.50	1.38	2.2	7.0	0.9	321	1
Park	SD	4.81	1.39	2.2	6.3	1.3	323	1
Peavy	SD	4.09	1.23	3.5	9.6	1.0	296	1
Penny	LAD	4.33	1.38	2.7	7.0	0.9	320	1
Perez	NYM	6.55	1.75	1.5	8.1	1.6	375	0
Perez	KC	6.20	1.58	2.6	5.8	1.3	352	0
Pettitte HOU	4.20	1.44	2.5	7.5	1.1	330	0
Pineiro	SEA	6.36	1.65	1.4	4.7	1.2	361	1
Proctor	NYY	3.52	1.19	2.7	7.8	1.1	290	1
Radke	MIN	4.32	1.41	2.6	4.6	1.3	326	1
Ramirez	CIN	5.37	1.46	2.4	6.0	1.2	334	1
Redman	KC	5.71	1.59	1.2	4.1	1.0	352	0
Robertson DET	3.84	1.31	2.0	5.9	1.3	309	0
Rodriguez HOU	5.64	1.60	1.6	6.5	1.1	354	0
Rogers	DET	3.84	1.26	1.6	4.4	1.0	301	0
Saarloos OAK	4.75	1.66	1.0	3.9	1.4	363	1
Sabathia CLE	3.22	1.17	3.9	8.0	0.8	287	0
Sanchez	FLA	2.83	1.19	1.6	5.7	0.7	289	1
Santana	MIN	2.77	1.00	5.2	9.4	0.9	255	0
Santana	LAA	4.28	1.23	2.0	6.2	0.9	296	1
Santos	PIT	5.70	1.66	1.9	6.3	1.2	363	1
Schilling BOS	3.97	1.22	6.5	8.1	1.2	294	1
Schmidt	SF	3.59	1.26	2.2	7.6	0.9	302	1
Sele	LAD	4.53	1.45	1.9	5.0	1.0	332	1
Seo	TAM	5.33	1.61	1.6	5.0	1.8	356	1
Sheets	MIL	3.82	1.09	10.5	9.8	0.8	273	1
Shields	TAM	4.84	1.44	2.7	7.5	1.3	330	1
Silva	MIN	5.94	1.54	2.2	3.5	1.9	346	1
Smoltz	ATL	3.49	1.19	3.8	8.2	0.9	289	1
Snell	PIT	4.74	1.46	2.3	8.2	1.4	334	1
Sosa	STL	5.42	1.51	1.9	5.7	2.3	341	1
Suppan	STL	4.12	1.45	1.5	4.9	1.0	332	1
Tomko	LAD	4.73	1.35	2.6	6.1	1.4	317	1
Trachsel NYM	4.97	1.60	1.0	4.3	1.3	354	1
Vargas	ARI	4.83	1.41	2.4	6.6	1.4	326	1
Vazquez	CHW	4.84	1.29	3.3	8.2	1.0	307	1
Verlander DET	3.63	1.33	2.1	6.0	1.0	313	1
Wakefield BOS	4.63	1.33	1.8	5.8	1.2	313	1
