Pitcher	WINS	TMWINS	RUNS	ERRORS	SAVES
Armas Jr. 9	71.0	746.0	131.0	32.0
Arroyo	14	80.0	749.0	128.0	36.0
Batista	11	76.0	773.0	104.0	34.0
Beckett	16	86.0	820.0	66.0	46.0
Bedard	15	70.0	768.0	102.0	35.0
Benson	11	70.0	768.0	102.0	35.0
Blanton	16	93.0	771.0	84.0	54.0
Bonderman 14	95.0	822.0	106.0	46.0
Bonser	7	96.0	801.0	84.0	40.0
Buchholz 6	82.0	735.0	80.0	42.0
Buehrle	12	90.0	868.0	80.0	46.0
Burnett	10	87.0	809.0	99.0	42.0
Bush	12	75.0	730.0	117.0	43.0
Byrd	10	78.0	870.0	118.0	24.0
Cabrera	9	70.0	768.0	102.0	35.0
Cain	13	76.0	746.0	91.0	37.0
Capuano	11	75.0	730.0	117.0	43.0
Carpenter 15	83.0	781.0	98.0	38.0
Carrasco 7	89.0	766.0	124.0	50.0
Chacon	7	67.0	691.0	104.0	39.0
Clemens	7	82.0	735.0	80.0	42.0
Contreras 13	90.0	868.0	80.0	46.0
Cook	9	76.0	813.0	91.0	34.0
Davis	11	75.0	730.0	117.0	43.0
Duke	10	67.0	691.0	104.0	39.0
Elarton	4	62.0	757.0	98.0	35.0
Escobar	11	89.0	766.0	124.0	50.0
Fogg	11	76.0	813.0	91.0	34.0
Fossum	6	61.0	689.0	116.0	33.0
Francis	13	76.0	813.0	91.0	34.0
Garcia	17	90.0	868.0	80.0	46.0
Garland	18	90.0	868.0	80.0	46.0
Glavine	15	97.0	834.0	104.0	43.0
Gonzalez 3	76.0	773.0	104.0	34.0
Halladay 16	87.0	809.0	99.0	42.0
Hamels	9	85.0	865.0	104.0	42.0
Harang	16	80.0	749.0	128.0	36.0
Haren	14	93.0	771.0	84.0	54.0
Hendrickson 6	88.0	820.0	115.0	40.0
Hensley	11	88.0	731.0	92.0	50.0
Hernandez 12	78.0	756.0	88.0	47.0
Hernandez 11	97.0	930.0	104.0	43.0
Hernandez 6	62.0	757.0	98.0	35.0
Hernandez 13	76.0	773.0	104.0	34.0
Hudson	7	62.0	757.0	98.0	35.0
Hudson	13	79.0	849.0	99.0	38.0
James	11	79.0	849.0	99.0	38.0
Jennings 9	76.0	813.0	91.0	34.0
Johnson	17	97.0	930.0	104.0	43.0
Johnson	12	78.0	758.0	126.0	41.0
Johnson	3	80.0	749.0	128.0	36.0
Kazmir	10	61.0	689.0	116.0	33.0
Kim	8	76.0	813.0	91.0	34.0
Koronka	7	80.0	835.0	98.0	42.0
Lackey	13	89.0	766.0	124.0	50.0
Lee	14	78.0	870.0	118.0	24.0
Lidle	12	97.0	930.0	104.0	43.0
Lieber	9	85.0	865.0	104.0	42.0
Lilly	15	87.0	809.0	99.0	42.0
Liriano	12	96.0	801.0	84.0	40.0
Loaiza	11	93.0	771.0	84.0	54.0
Loewen	6	70.0	768.0	102.0	35.0
Lohse	5	80.0	749.0	128.0	36.0
Lopez	9	70.0	768.0	102.0	35.0
Lowe	16	88.0	820.0	115.0	40.0
Lowry	7	76.0	746.0	91.0	37.0
Maddux	15	88.0	820.0	115.0	40.0
Madson	11	85.0	865.0	104.0	42.0
Maholm	8	67.0	691.0	104.0	39.0
Marquis	14	83.0	781.0	98.0	38.0
Marshall 6	66.0	716.0	106.0	29.0
Martinez 9	97.0	834.0	104.0	43.0
McClung	6	61.0	689.0	116.0	33.0
Meche	11	78.0	756.0	88.0	47.0
Millwood 16	80.0	835.0	98.0	42.0
