Case	Papers	LnFamily	LnRetSales	Newsprint
1.000000000e+000	1.000000000e+000	9.060000000e+000	1.125400000e+001	9.610000000e+002
2.000000000e+000	1.000000000e+000	8.835000000e+000	1.081400000e+001	4.690000000e+002
3.000000000e+000	1.000000000e+000	8.983000000e+000	1.092600000e+001	3.511000000e+003
4.000000000e+000	2.000000000e+000	1.028000000e+001	1.240300000e+001	9.256000000e+003
5.000000000e+000	1.000000000e+000	9.198000000e+000	1.101900000e+001	5.560000000e+002
6.000000000e+000	1.000000000e+000	9.424000000e+000	1.138900000e+001	1.252000000e+003
7.000000000e+000	1.000000000e+000	8.843000000e+000	1.136700000e+001	9.020000000e+002
8.000000000e+000	1.000000000e+000	9.530000000e+000	1.115400000e+001	1.399000000e+003
9.000000000e+000	1.000000000e+000	8.916000000e+000	1.121200000e+001	1.877000000e+003
1.000000000e+001	2.000000000e+000	1.038900000e+001	1.243600000e+001	1.390700000e+004
1.100000000e+001	1.000000000e+000	8.811000000e+000	1.083900000e+001	9.210000000e+002
1.200000000e+001	1.000000000e+000	1.040200000e+001	1.222800000e+001	6.959000000e+003
1.300000000e+001	2.000000000e+000	9.385000000e+000	1.139100000e+001	2.260000000e+003
1.400000000e+001	2.000000000e+000	9.649000000e+000	1.161700000e+001	7.255000000e+003
1.500000000e+001	1.000000000e+000	8.912000000e+000	1.099800000e+001	4.940000000e+002
