MPG	Age	Gender
2.230000000e+001	3.000000000e+000	0.000000000e+000
2.200000000e+001	4.000000000e+000	1.000000000e+000
2.370000000e+001	3.000000000e+000	1.000000000e+000
2.420000000e+001	2.000000000e+000	0.000000000e+000
2.550000000e+001	1.000000000e+000	1.000000000e+000
2.110000000e+001	5.000000000e+000	0.000000000e+000
2.060000000e+001	4.000000000e+000	0.000000000e+000
2.400000000e+001	1.000000000e+000	0.000000000e+000
2.600000000e+001	1.000000000e+000	1.000000000e+000
2.310000000e+001	2.000000000e+000	0.000000000e+000
2.480000000e+001	2.000000000e+000	1.000000000e+000
2.020000000e+001	5.000000000e+000	0.000000000e+000
