Day	Cash$	CashItems	CreditCard$	CredCdItems
1.000000000e+000	3.480000000e+002	5.500000000e+001	1.480000000e+002	4.000000000e+000
2.000000000e+000	4.200000000e+001	8.000000000e+000	1.110000000e+002	6.000000000e+000
3.000000000e+000	6.100000000e+001	9.000000000e+000	6.200000000e+001	7.000000000e+000
4.000000000e+000	9.400000000e+001	1.600000000e+001	0.000000000e+000	0.000000000e+000
5.000000000e+000	6.000000000e+001	1.100000000e+001	3.900000000e+001	5.000000000e+000
6.000000000e+000	1.650000000e+002	2.600000000e+001	7.000000000e+000	1.000000000e+000
7.000000000e+000	1.260000000e+002	2.700000000e+001	1.430000000e+002	2.600000000e+001
8.000000000e+000	1.110000000e+002	1.900000000e+001	2.700000000e+001	5.000000000e+000
9.000000000e+000	2.600000000e+001	5.000000000e+000	1.400000000e+001	2.000000000e+000
1.000000000e+001	1.090000000e+002	1.800000000e+001	7.100000000e+001	1.200000000e+001
1.100000000e+001	1.800000000e+002	2.700000000e+001	1.160000000e+002	2.100000000e+001
1.200000000e+001	2.120000000e+002	3.600000000e+001	5.000000000e+001	9.000000000e+000
1.300000000e+001	5.800000000e+001	1.000000000e+001	1.300000000e+001	2.000000000e+000
1.400000000e+001	1.150000000e+002	2.000000000e+001	1.050000000e+002	1.600000000e+001
1.500000000e+001	1.500000000e+001	8.000000000e+000	1.900000000e+001	3.000000000e+000
1.600000000e+001	9.700000000e+001	1.500000000e+001	4.400000000e+001	1.400000000e+001
1.700000000e+001	6.100000000e+001	1.000000000e+001	0.000000000e+000	0.000000000e+000
1.800000000e+001	8.500000000e+001	1.500000000e+001	2.400000000e+001	3.000000000e+000
1.900000000e+001	1.570000000e+002	2.400000000e+001	1.440000000e+002	1.000000000e+001
2.000000000e+001	8.800000000e+001	1.500000000e+001	6.300000000e+001	1.100000000e+001
2.100000000e+001	9.600000000e+001	1.900000000e+001	0.000000000e+000	0.000000000e+000
2.200000000e+001	2.020000000e+002	3.300000000e+001	1.400000000e+001	3.000000000e+000
2.300000000e+001	1.080000000e+002	2.300000000e+001	0.000000000e+000	0.000000000e+000
2.400000000e+001	1.580000000e+002	2.100000000e+001	2.400000000e+001	4.000000000e+000
2.500000000e+001	1.760000000e+002	4.300000000e+001	2.530000000e+002	2.800000000e+001
