WINS	ERA	SO	BA	RUNS	HR	SB
7.500000000e+001	4.030000210e+000	9.050000000e+002	2.460000068e-001	6.490000000e+002	1.410000000e+002	9.500000000e+001
7.700000000e+001	3.559999943e+000	1.028000000e+003	2.440000027e-001	6.400000000e+002	1.170000000e+002	1.530000000e+002
7.700000000e+001	4.030000210e+000	9.270000000e+002	2.529999912e-001	6.950000000e+002	1.590000000e+002	1.230000000e+002
7.400000000e+001	3.829999924e+000	9.970000000e+002	2.579999864e-001	6.890000000e+002	1.640000000e+002	1.240000000e+002
9.800000000e+001	3.440000057e+000	9.190000000e+002	2.630000114e-001	7.680000000e+002	1.260000000e+002	1.240000000e+002
8.400000000e+001	3.690000057e+000	8.220000000e+002	2.549999952e-001	6.510000000e+002	6.800000000e+001	2.020000000e+002
7.800000000e+001	3.859999895e+000	9.880000000e+002	2.409999967e-001	6.290000000e+002	1.110000000e+002	9.200000000e+001
6.500000000e+001	4.000000000e+000	1.033000000e+003	2.440000027e-001	6.050000000e+002	7.900000000e+001	1.250000000e+002
9.300000000e+001	3.059999943e+000	1.028000000e+003	2.529999912e-001	6.650000000e+002	1.080000000e+002	1.260000000e+002
7.100000000e+001	3.640000105e+000	9.090000000e+002	2.460000068e-001	5.790000000e+002	9.500000000e+001	2.210000000e+002
9.400000000e+001	3.490000010e+000	9.690000000e+002	2.579999864e-001	7.490000000e+002	1.410000000e+002	1.650000000e+002
8.400000000e+001	3.569999933e+000	9.210000000e+002	2.440000027e-001	6.360000000e+002	1.210000000e+002	1.010000000e+002
8.400000000e+001	4.010000229e+000	9.990000000e+002	2.689999938e-001	7.310000000e+002	1.260000000e+002	5.900000000e+001
8.700000000e+001	3.789999962e+000	9.230000000e+002	2.619999945e-001	7.580000000e+002	1.390000000e+002	1.340000000e+002
7.100000000e+001	4.420000076e+000	9.360000000e+002	2.560000122e-001	6.740000000e+002	1.470000000e+002	1.090000000e+002
8.400000000e+001	4.510000229e+000	7.390000000e+002	2.469999939e-001	8.170000000e+002	2.090000000e+002	1.090000000e+002
6.700000000e+001	4.590000153e+000	8.680000000e+002	2.540000081e-001	6.860000000e+002	1.700000000e+002	5.000000000e+001
8.300000000e+001	4.139999866e+000	8.590000000e+002	2.709999979e-001	7.990000000e+002	1.160000000e+002	1.060000000e+002
5.700000000e+001	4.230000019e+000	8.620000000e+002	2.540000081e-001	5.760000000e+002	7.900000000e+001	8.400000000e+001
9.100000000e+001	3.500000000e+000	9.710000000e+002	2.569999993e-001	6.840000000e+002	1.330000000e+002	1.480000000e+002
8.300000000e+001	3.789999962e+000	1.003000000e+003	2.549999952e-001	7.020000000e+002	1.260000000e+002	9.700000000e+001
8.500000000e+001	4.469999790e+000	1.022000000e+003	2.700000107e-001	8.290000000e+002	1.770000000e+002	1.020000000e+002
8.400000000e+001	4.570000172e+000	8.920000000e+002	2.479999959e-001	7.600000000e+002	1.590000000e+002	1.510000000e+002
8.200000000e+001	3.920000076e+000	1.004000000e+003	2.639999986e-001	7.270000000e+002	1.170000000e+002	1.190000000e+002
8.100000000e+001	3.690000057e+000	9.900000000e+002	2.549999952e-001	6.530000000e+002	1.150000000e+002	9.400000000e+001
9.500000000e+001	3.690000057e+000	8.760000000e+002	2.800000012e-001	7.760000000e+002	1.400000000e+002	1.070000000e+002
