X1	X2	X3	Y
8.700000000e+001	8.500000000e+001	2.700000000e+000	9.100000000e+001
1.000000000e+002	8.400000000e+001	3.300000000e+000	9.000000000e+001
9.100000000e+001	8.200000000e+001	3.500000000e+000	8.300000000e+001
8.500000000e+001	6.000000000e+001	3.700000000e+000	9.300000000e+001
5.600000000e+001	6.400000000e+001	2.800000000e+000	4.300000000e+001
8.100000000e+001	4.800000000e+001	3.100000000e+000	7.500000000e+001
7.700000000e+001	6.700000000e+001	3.100000000e+000	6.300000000e+001
8.600000000e+001	7.300000000e+001	3.000000000e+000	7.800000000e+001
7.900000000e+001	9.000000000e+001	3.800000000e+000	9.800000000e+001
9.600000000e+001	6.900000000e+001	3.700000000e+000	9.900000000e+001
9.300000000e+001	6.000000000e+001	3.200000000e+000	5.400000000e+001
9.200000000e+001	6.900000000e+001	3.100000000e+000	6.300000000e+001
1.000000000e+002	8.600000000e+001	3.600000000e+000	9.600000000e+001
8.000000000e+001	8.700000000e+001	3.500000000e+000	8.900000000e+001
1.000000000e+002	9.600000000e+001	3.800000000e+000	9.700000000e+001
6.900000000e+001	5.100000000e+001	2.800000000e+000	5.000000000e+001
8.000000000e+001	7.500000000e+001	3.600000000e+000	7.400000000e+001
7.400000000e+001	7.000000000e+001	3.100000000e+000	5.800000000e+001
7.900000000e+001	6.600000000e+001	2.900000000e+000	8.700000000e+001
9.500000000e+001	8.300000000e+001	3.300000000e+000	5.700000000e+001
