Time	Amount	Items
3.000000000e+000	3.600000000e+001	9.000000000e+000
1.300000000e+000	1.300000000e+001	5.000000000e+000
5.000000000e-001	3.000000000e+000	2.000000000e+000
7.400000000e+000	8.100000000e+001	1.400000000e+001
5.900000000e+000	7.800000000e+001	1.300000000e+001
8.400000000e+000	1.030000000e+002	1.600000000e+001
5.000000000e+000	6.400000000e+001	1.200000000e+001
8.100000000e+000	6.700000000e+001	1.100000000e+001
1.900000000e+000	2.500000000e+001	7.000000000e+000
6.200000000e+000	5.500000000e+001	1.100000000e+001
7.000000000e-001	1.300000000e+001	3.000000000e+000
1.400000000e+000	2.100000000e+001	8.000000000e+000
9.100000000e+000	1.210000000e+002	2.100000000e+001
9.000000000e-001	1.000000000e+001	6.000000000e+000
5.400000000e+000	6.000000000e+001	1.300000000e+001
3.300000000e+000	3.200000000e+001	1.100000000e+001
4.500000000e+000	5.100000000e+001	1.500000000e+001
2.400000000e+000	2.800000000e+001	1.000000000e+001
