Food	Income	Size
2.400000000e+001	1.100000000e+001	6.000000000e+000
8.000000000e+000	3.000000000e+000	2.000000000e+000
1.600000000e+001	4.000000000e+000	1.000000000e+000
1.800000000e+001	7.000000000e+000	3.000000000e+000
2.400000000e+001	9.000000000e+000	5.000000000e+000
2.300000000e+001	8.000000000e+000	4.000000000e+000
1.100000000e+001	5.000000000e+000	2.000000000e+000
1.500000000e+001	7.000000000e+000	2.000000000e+000
2.100000000e+001	8.000000000e+000	3.000000000e+000
2.000000000e+001	7.000000000e+000	2.000000000e+000
