Sales	Aptitude	Age	Anxiety	Exp.	GPA
4.400000000e+001	1.000000000e+001	2.210000000e+001	4.900000000e+000	0.000000000e+000	2.400000000e+000
4.700000000e+001	1.900000000e+001	2.250000000e+001	3.000000000e+000	1.000000000e+000	2.600000000e+000
6.000000000e+001	2.700000000e+001	2.310000000e+001	1.500000000e+000	0.000000000e+000	2.800000000e+000
7.100000000e+001	3.100000000e+001	2.400000000e+001	6.000000000e-001	3.000000000e+000	2.700000000e+000
6.100000000e+001	6.400000000e+001	2.260000000e+001	1.800000000e+000	2.000000000e+000	2.000000000e+000
6.000000000e+001	8.100000000e+001	2.170000000e+001	3.300000000e+000	1.000000000e+000	2.500000000e+000
5.800000000e+001	4.200000000e+001	2.380000000e+001	3.200000000e+000	0.000000000e+000	2.500000000e+000
5.600000000e+001	6.700000000e+001	2.200000000e+001	2.100000000e+000	0.000000000e+000	2.300000000e+000
6.600000000e+001	4.800000000e+001	2.240000000e+001	6.000000000e+000	1.000000000e+000	2.800000000e+000
6.100000000e+001	6.400000000e+001	2.260000000e+001	1.800000000e+000	1.000000000e+000	3.400000000e+000
5.100000000e+001	5.700000000e+001	2.110000000e+001	3.800000000e+000	0.000000000e+000	3.000000000e+000
4.700000000e+001	1.000000000e+001	2.250000000e+001	4.500000000e+000	1.000000000e+000	2.700000000e+000
5.300000000e+001	4.800000000e+001	2.220000000e+001	4.500000000e+000	0.000000000e+000	2.800000000e+000
7.400000000e+001	9.600000000e+001	2.480000000e+001	1.000000000e-001	3.000000000e+000	3.800000000e+000
6.500000000e+001	7.500000000e+001	2.260000000e+001	9.000000000e-001	0.000000000e+000	3.700000000e+000
3.300000000e+001	1.200000000e+001	2.050000000e+001	4.800000000e+000	0.000000000e+000	2.100000000e+000
5.400000000e+001	4.700000000e+001	2.190000000e+001	2.300000000e+000	1.000000000e+000	1.800000000e+000
3.900000000e+001	2.000000000e+001	2.050000000e+001	3.000000000e+000	2.000000000e+000	1.500000000e+000
5.200000000e+001	7.300000000e+001	2.080000000e+001	3.000000000e-001	2.000000000e+000	1.900000000e+000
3.000000000e+001	4.000000000e+000	2.000000000e+001	2.700000000e+000	0.000000000e+000	2.200000000e+000
5.800000000e+001	9.000000000e+000	2.330000000e+001	4.400000000e+000	1.000000000e+000	2.800000000e+000
5.900000000e+001	9.800000000e+001	2.130000000e+001	3.900000000e+000	1.000000000e+000	2.900000000e+000
5.200000000e+001	2.700000000e+001	2.290000000e+001	1.400000000e+000	2.000000000e+000	3.200000000e+000
5.600000000e+001	5.900000000e+001	2.230000000e+001	2.700000000e+000	1.000000000e+000	2.700000000e+000
4.900000000e+001	2.300000000e+001	2.260000000e+001	2.700000000e+000	1.000000000e+000	2.400000000e+000
6.300000000e+001	9.000000000e+001	2.240000000e+001	2.200000000e+000	2.000000000e+000	2.600000000e+000
6.100000000e+001	3.400000000e+001	2.380000000e+001	7.000000000e-001	1.000000000e+000	3.400000000e+000
3.900000000e+001	1.600000000e+001	2.060000000e+001	3.100000000e+000	1.000000000e+000	2.300000000e+000
6.200000000e+001	3.200000000e+001	2.440000000e+001	6.000000000e-001	3.000000000e+000	4.000000000e+000
7.800000000e+001	9.400000000e+001	2.500000000e+001	4.600000000e+000	5.000000000e+000	3.600000000e+000
