Y	X2	X3
1.000000000e+001	1.300000000e+000	9.000000000e+000
6.000000000e+000	2.000000000e+000	7.000000000e+000
5.000000000e+000	1.700000000e+000	5.000000000e+000
1.200000000e+001	1.500000000e+000	1.400000000e+001
1.000000000e+001	1.600000000e+000	1.500000000e+001
1.500000000e+001	1.200000000e+000	1.200000000e+001
5.000000000e+000	1.600000000e+000	6.000000000e+000
1.200000000e+001	1.400000000e+000	1.000000000e+001
1.700000000e+001	1.000000000e+000	1.500000000e+001
2.000000000e+001	1.100000000e+000	2.100000000e+001
