Rating	Test	Gender
5.000000000e+000	6.000000000e+001	0.000000000e+000
4.000000000e+000	5.500000000e+001	0.000000000e+000
3.000000000e+000	3.500000000e+001	0.000000000e+000
1.000000000e+001	9.600000000e+001	0.000000000e+000
2.000000000e+000	3.500000000e+001	0.000000000e+000
7.000000000e+000	8.100000000e+001	0.000000000e+000
6.000000000e+000	6.500000000e+001	0.000000000e+000
9.000000000e+000	8.500000000e+001	0.000000000e+000
9.000000000e+000	9.900000000e+001	1.000000000e+000
2.000000000e+000	4.300000000e+001	1.000000000e+000
8.000000000e+000	9.800000000e+001	1.000000000e+000
6.000000000e+000	9.100000000e+001	1.000000000e+000
7.000000000e+000	9.500000000e+001	1.000000000e+000
3.000000000e+000	7.000000000e+001	1.000000000e+000
6.000000000e+000	8.500000000e+001	1.000000000e+000
