Sales	Outlets	Auto	Income
5.230000000e+001	2.011000000e+003	2.460000000e+001	9.850000000e+001
2.600000000e+001	2.850000000e+003	2.210000000e+001	3.110000000e+001
2.020000000e+001	6.500000000e+002	7.900000000e+000	3.480000000e+001
1.600000000e+001	4.800000000e+002	1.250000000e+001	3.270000000e+001
3.000000000e+001	1.694000000e+003	9.000000000e+000	6.880000000e+001
4.620000000e+001	2.302000000e+003	1.150000000e+001	9.470000000e+001
3.500000000e+001	2.214000000e+003	2.050000000e+001	6.760000000e+001
3.500000000e+000	1.250000000e+002	4.100000000e+000	1.970000000e+001
3.310000000e+001	1.840000000e+003	8.900000000e+000	6.790000000e+001
2.520000000e+001	1.233000000e+003	6.100000000e+000	6.140000000e+001
3.820000000e+001	1.699000000e+003	9.500000000e+000	8.560000000e+001
