Clients	Stamps	Index	Bankruptcies	Permits	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
182	*	110	*	*	0	0	0	0	0	0	0	0	0	0	0
136	*	108	*	*	1	0	0	0	0	0	0	0	0	0	0
99	*	105	*	*	0	1	0	0	0	0	0	0	0	0	0
77	*	104	*	*	0	0	1	0	0	0	0	0	0	0	0
75	*	104	*	*	0	0	0	1	0	0	0	0	0	0	0
63	*	102	*	*	0	0	0	0	1	0	0	0	0	0	0
87	*	103	*	*	0	0	0	0	0	1	0	0	0	0	0
73	*	101	*	*	0	0	0	0	0	0	1	0	0	0	0
83	*	102	*	*	0	0	0	0	0	0	0	1	0	0	0
82	*	102	*	*	0	0	0	0	0	0	0	0	1	0	0
74	*	99	*	*	0	0	0	0	0	0	0	0	0	1	0
75	*	99	*	*	0	0	0	0	0	0	0	0	0	0	1
102	*	102	160	49	0	0	0	0	0	0	0	0	0	0	0
121	*	105	170	60	1	0	0	0	0	0	0	0	0	0	0
128	*	106	140	149	0	1	0	0	0	0	0	0	0	0	0
128	*	107	173	214	0	0	1	0	0	0	0	0	0	0	0
112	*	105	162	191	0	0	0	1	0	0	0	0	0	0	0
122	*	106	160	193	0	0	0	0	1	0	0	0	0	0	0
104	*	105	150	161	0	0	0	0	0	1	0	0	0	0	0
108	*	105	145	174	0	0	0	0	0	0	1	0	0	0	0
97	*	103	134	168	0	0	0	0	0	0	0	1	0	0	0
141	*	105	155	203	0	0	0	0	0	0	0	0	1	0	0
97	*	103	145	111	0	0	0	0	0	0	0	0	0	1	0
87	*	101	152	64	0	0	0	0	0	0	0	0	0	0	1
145	*	108	171	44	0	0	0	0	0	0	0	0	0	0	0
103	*	105	206	76	1	0	0	0	0	0	0	0	0	0	0
113	*	105	173	137	0	1	0	0	0	0	0	0	0	0	0
150	*	108	195	145	0	0	1	0	0	0	0	0	0	0	0
100	*	104	165	150	0	0	0	1	0	0	0	0	0	0	0
131	*	108	177	168	0	0	0	0	1	0	0	0	0	0	0
96	*	105	168	168	0	0	0	0	0	1	0	0	0	0	0
92	*	105	165	170	0	0	0	0	0	0	1	0	0	0	0
88	*	103	131	158	0	0	0	0	0	0	0	1	0	0	0
118	*	105	169	146	0	0	0	0	0	0	0	0	1	0	0
102	*	104	166	104	0	0	0	0	0	0	0	0	0	1	0
98	*	104	157	48	0	0	0	0	0	0	0	0	0	0	1
101	*	104	174	32	0	0	0	0	0	0	0	0	0	0	0
153	*	109	162	32	1	0	0	0	0	0	0	0	0	0	0
138	*	109	196	127	0	1	0	0	0	0	0	0	0	0	0
107	*	103	178	149	0	0	1	0	0	0	0	0	0	0	0
100	*	103	169	128	0	0	0	1	0	0	0	0	0	0	0
115	*	104	170	178	0	0	0	0	1	0	0	0	0	0	0
78	*	99	143	132	0	0	0	0	0	1	0	0	0	0	0
106	*	102	177	164	0	0	0	0	0	0	1	0	0	0	0
94	*	101	192	152	0	0	0	0	0	0	0	1	0	0	0
93	*	101	195	92	0	0	0	0	0	0	0	0	1	0	0
103	*	102	164	121	0	0	0	0	0	0	0	0	0	1	0
104	*	102	146	77	0	0	0	0	0	0	0	0	0	0	1
150	24450	107	180	61	0	0	0	0	0	0	0	0	0	0	0
102	24761	106	149	48	1	0	0	0	0	0	0	0	0	0	0
151	25397	109	200	108	0	1	0	0	0	0	0	0	0	0	0
100	25617	105	165	161	0	0	1	0	0	0	0	0	0	0	0
100	25283	104	168	200	0	0	0	1	0	0	0	0	0	0	0
98	25242	103	177	204	0	0	0	0	1	0	0	0	0	0	0
