Year	Mon	Calls	Rate	Temp	Rain	Members
1987	Jun	*	6.9940	*	*	*
*	Jul	*	6.8137	*	*	*
*	Aug	*	6.3648	*	*	*
*	Sep	*	6.5435	*	*	*
*	Oct	*	6.7826	*	*	*
*	Nov	*	6.9225	*	*	*
*	Dec	*	7.1560	*	*	*
1988	Jan	*	7.9143	*	*	*
*	Feb	*	7.7576	*	*	*
*	Mar	*	7.0641	*	*	*
*	Apr	*	6.0977	*	*	*
*	May	20002	5.7867	55.1	3.75	*
*	Jun	21591	5.7592	59.0	1.95	*
*	Jul	22696	5.5718	63.8	0.89	*
*	Aug	21509	5.2939	63.8	0.51	384746
*	Sep	22123	5.4709	59.1	2.31	388652
*	Oct	21449	5.5049	54.6	3.12	392241
*	Nov	23475	5.8630	45.4	8.42	393115
*	Dec	23529	6.1349	41.0	4.44	392631
1989	Jan	23327	7.5474	40.3	4.30	396975
*	Feb	24050	7.8157	34.3	3.18	395186
*	Mar	24010	7.1390	43.2	6.57	397791
*	Apr	19735	6.2637	52.5	2.39	397764
*	May	20153	5.8332	55.3	2.83	399348
*	Jun	19512	5.8077	62.4	1.30	401949
*	Jul	19892	5.6713	62.9	0.83	404866
*	Aug	20326	5.4977	63.5	1.53	405341
*	Sep	19378	5.2989	60.9	0.32	407479
*	Oct	21263	5.6028	51.9	3.44	405430
*	Nov	21443	5.9143	46.2	7.24	412134
*	Dec	23366	5.0000	41.8	4.72	415342
1990	Jan	23836	6.1917	41.8	9.55	416255
*	Feb	23336	6.3775	38.9	5.73	423001
*	Mar	22003	5.7234	46.3	3.40	428559
*	Apr	20155	4.7792	51.7	2.91	431429
*	May	20070	4.5715	54.9	2.15	434675
*	Jun	19588	4.3899	59.8	3.55	435864
*	Jul	20804	4.2559	66.7	0.59	437969
*	Aug	19644	3.9359	66.4	1.33	440565
*	Sep	17424	3.9048	61.9	0.24	441936
*	Oct	20833	4.4294	50.4	1.17	448595
*	Nov	22490	5.1523	45.8	10.66	446291
*	Dec	24861	5.5102	33.9	7.93	446455
1991	Jan	23441	6.8901	37.9	4.40	445392
*	Feb	19205	7.0308	46.9	5.42	445787
*	Mar	20386	6.7186	43.4	4.35	445746
*	Apr	19988	6.1280	49.1	5.69	446430
*	May	19077	5.8146	54.3	2.12	450001
*	Jun	19141	5.9480	58.2	1.61	452303
*	Jul	20883	5.9026	65.4	0.51	456551
*	Aug	20709	5.7227	66.0	2.80	455747
*	Sep	19647	5.6877	60.9	0.20	456764
*	Oct	22013	6.2922	51.0	1.70	462340
*	Nov	22375	7.0615	46.2	6.50	460492
*	Dec	22727	7.4370	42.4	3.45	465361
1992	Jan	22367	8.4513	43.0	7.26	465492
*	Feb	21155	8.7699	46.0	3.59	466775
*	Mar	21209	8.0728	48.9	1.47	467168
*	Apr	19286	7.2392	52.7	4.35	464575
*	May	19725	7.0461	58.3	0.60	459019
*	Jun	20276	7.0478	63.6	1.84	463665
*	Jul	20795	7.1080	64.9	1.41	463775
*	Aug	21126	6.7824	65.0	1.01	466230
*	Sep	20251	6.7691	58.4	2.16	
*	Oct	22069	7.5896	53.2	2.55	
*	Nov	23268	7.9908	44.8	6.23	
*	Dec	26039	8.2460	37.8	4.38	
1993	Jan	26127	9.5301	34.9	4.08	
	Feb	20067	9.2790			
	Mar	19673	8.6802			
	Apr	19142	7.7815			
	May		7.4338			
	Jun		7.3701			
	Jul		7.2442			
