Sales	Paper	TV	Month	Dum1	Dum2	Dum3	Dum4	Dum5	Dum6	Dum7	Dum8	Dum9	Dum10	Dum11	Paper1	Paper2	TV1	TV2	M01-48	Compet
4.250750000e+005	7.525300000e+004	1.144330000e+005	1.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	2.200000000e+002	5.000000000e+000	8.821800000e+004	7.600100000e+004	1.000000000e+000	1.000000000e+000
3.153050000e+005	1.503600000e+004	6.359900000e+004	2.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	7.525300000e+004	2.200000000e+002	1.144330000e+005	8.821800000e+004	2.000000000e+000	2.000000000e+000
4.321010000e+005	1.344400000e+005	6.498800000e+004	3.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.503600000e+004	7.525300000e+004	6.359900000e+004	1.144230000e+005	3.000000000e+000	2.000000000e+000
3.571910000e+005	1.197400000e+005	6.684200000e+004	4.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.344400000e+005	1.503600000e+004	6.498800000e+004	6.359900000e+004	4.000000000e+000	1.000000000e+000
3.478740000e+005	1.355900000e+005	3.962600000e+004	5.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.197400000e+005	1.344400000e+005	6.684200000e+004	6.498800000e+004	5.000000000e+000	2.000000000e+000
4.355290000e+005	1.896360000e+005	1.075030000e+005	6.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.355900000e+005	1.197400000e+005	3.962600000e+004	6.684200000e+004	6.000000000e+000	3.000000000e+000
2.994030000e+005	9.308000000e+003	9.712900000e+004	7.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.896360000e+005	1.355900000e+005	1.075030000e+005	3.962600000e+004	7.000000000e+000	3.000000000e+000
2.965050000e+005	4.109900000e+004	5.640400000e+004	8.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	9.308000000e+003	1.896360000e+005	9.712900000e+004	1.075030000e+005	8.000000000e+000	2.000000000e+000
4.267010000e+005	9.391000000e+003	2.605760000e+005	9.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	4.109900000e+004	9.308000000e+003	5.640400000e+004	9.712900000e+004	9.000000000e+000	3.000000000e+000
3.297220000e+005	9.420000000e+002	2.435230000e+005	1.000000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	9.391000000e+003	4.109900000e+004	2.605760000e+005	5.640400000e+004	1.000000000e+001	3.000000000e+000
