SurtidoSales	Time	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov
666922	1	1	0	0	0	0	0	0	0	0	0	0
559962	2	0	1	0	0	0	0	0	0	0	0	0
441071	3	0	0	1	0	0	0	0	0	0	0	0
556265	4	0	0	0	1	0	0	0	0	0	0	0
529673	5	0	0	0	0	1	0	0	0	0	0	0
564722	6	0	0	0	0	0	1	0	0	0	0	0
638531	7	0	0	0	0	0	0	1	0	0	0	0
478899	8	0	0	0	0	0	0	0	1	0	0	0
917045	9	0	0	0	0	0	0	0	0	1	0	0
1515695	10	0	0	0	0	0	0	0	0	0	1	0
1834695	11	0	0	0	0	0	0	0	0	0	0	1
1874515	12	0	0	0	0	0	0	0	0	0	0	0
802365	13	1	0	0	0	0	0	0	0	0	0	0
567637	14	0	1	0	0	0	0	0	0	0	0	0
527987	15	0	0	1	0	0	0	0	0	0	0	0
684457	16	0	0	0	1	0	0	0	0	0	0	0
747335	17	0	0	0	0	1	0	0	0	0	0	0
658036	18	0	0	0	0	0	1	0	0	0	0	0
874679	19	0	0	0	0	0	0	1	0	0	0	0
793355	20	0	0	0	0	0	0	0	1	0	0	0
1819748	21	0	0	0	0	0	0	0	0	1	0	0
1600287	22	0	0	0	0	0	0	0	0	0	1	0
2177214	23	0	0	0	0	0	0	0	0	0	0	1
1759703	24	0	0	0	0	0	0	0	0	0	0	0
574064	25	1	0	0	0	0	0	0	0	0	0	0
521469	26	0	1	0	0	0	0	0	0	0	0	0
522118	27	0	0	1	0	0	0	0	0	0	0	0
716624	28	0	0	0	1	0	0	0	0	0	0	0
632066	29	0	0	0	0	1	0	0	0	0	0	0
633984	30	0	0	0	0	0	1	0	0	0	0	0
543636	31	0	0	0	0	0	0	1	0	0	0	0
596131	32	0	0	0	0	0	0	0	1	0	0	0
1606798	33	0	0	0	0	0	0	0	0	1	0	0
1774832	34	0	0	0	0	0	0	0	0	0	1	0
2102863	35	0	0	0	0	0	0	0	0	0	0	1
1819749	36	0	0	0	0	0	0	0	0	0	0	0
1072617	37	1	0	0	0	0	0	0	0	0	0	0
510005	38	0	1	0	0	0	0	0	0	0	0	0
579541	39	0	0	1	0	0	0	0	0	0	0	0
771350	40	0	0	0	1	0	0	0	0	0	0	0
590556	41	0	0	0	0	1	0	0	0	0	0	0
