Total Visits	Time	Sep	Oct	Nov	Dec	Jan	Feb	Mar	Apr	May	Jun	Jul
725	1	1	0	0	0	0	0	0	0	0	0	0
789	2	0	1	0	0	0	0	0	0	0	0	0
893	3	0	0	1	0	0	0	0	0	0	0	0
823	4	0	0	0	1	0	0	0	0	0	0	0
917	5	0	0	0	0	1	0	0	0	0	0	0
811	6	0	0	0	0	0	1	0	0	0	0	0
1048	7	0	0	0	0	0	0	1	0	0	0	0
970	8	0	0	0	0	0	0	0	1	0	0	0
1082	9	0	0	0	0	0	0	0	0	1	0	0
1028	10	0	0	0	0	0	0	0	0	0	1	0
1098	11	0	0	0	0	0	0	0	0	0	0	1
1062	12	0	0	0	0	0	0	0	0	0	0	0
899	13	1	0	0	0	0	0	0	0	0	0	0
1022	14	0	1	0	0	0	0	0	0	0	0	0
895	15	0	0	1	0	0	0	0	0	0	0	0
828	16	0	0	0	1	0	0	0	0	0	0	0
1011	17	0	0	0	0	1	0	0	0	0	0	0
868	18	0	0	0	0	0	1	0	0	0	0	0
991	19	0	0	0	0	0	0	1	0	0	0	0
970	20	0	0	0	0	0	0	0	1	0	0	0
934	21	0	0	0	0	0	0	0	0	1	0	0
784	22	0	0	0	0	0	0	0	0	0	1	0
1028	23	0	0	0	0	0	0	0	0	0	0	1
956	24	0	0	0	0	0	0	0	0	0	0	0
916	25	1	0	0	0	0	0	0	0	0	0	0
988	26	0	1	0	0	0	0	0	0	0	0	0
921	27	0	0	1	0	0	0	0	0	0	0	0
865	28	0	0	0	1	0	0	0	0	0	0	0
998	29	0	0	0	0	1	0	0	0	0	0	0
963	30	0	0	0	0	0	1	0	0	0	0	0
992	31	0	0	0	0	0	0	1	0	0	0	0
1118	32	0	0	0	0	0	0	0	1	0	0	0
1041	33	0	0	0	0	0	0	0	0	1	0	0
1057	34	0	0	0	0	0	0	0	0	0	1	0
1200	35	0	0	0	0	0	0	0	0	0	0	1
1062	36	0	0	0	0	0	0	0	0	0	0	0
1061	37	1	0	0	0	0	0	0	0	0	0	0
1049	38	0	1	0	0	0	0	0	0	0	0	0
829	39	0	0	1	0	0	0	0	0	0	0	0
1029	40	0	0	0	1	0	0	0	0	0	0	0
1120	41	0	0	0	0	1	0	0	0	0	0	0
1084	42	0	0	0	0	0	1	0	0	0	0	0
1307	43	0	0	0	0	0	0	1	0	0	0	0
1458	44	0	0	0	0	0	0	0	1	0	0	0
1295	45	0	0	0	0	0	0	0	0	1	0	0
1412	46	0	0	0	0	0	0	0	0	0	1	0
1553	47	0	0	0	0	0	0	0	0	0	0	1
1480	48	0	0	0	0	0	0	0	0	0	0	0
1554	49	1	0	0	0	0	0	0	0	0	0	0
1472	50	0	1	0	0	0	0	0	0	0	0	0
1326	51	0	0	1	0	0	0	0	0	0	0	0
1231	52	0	0	0	1	0	0	0	0	0	0	0
1251	53	0	0	0	0	1	0	0	0	0	0	0
1092	54	0	0	0	0	0	1	0	0	0	0	0
1429	55	0	0	0	0	0	0	1	0	0	0	0
1399	56	0	0	0	0	0	0	0	1	0	0	0
1341	57	0	0	0	0	0	0	0	0	1	0	0
1409	58	0	0	0	0	0	0	0	0	0	1	0
1367	59	0	0	0	0	0	0	0	0	0	0	1
1483	60	0	0	0	0	0	0	0	0	0	0	0
1492	61	1	0	0	0	0	0	0	0	0	0	0
1650	62	0	1	0	0	0	0	0	0	0	0	0
1454	63	0	0	1	0	0	0	0	0	0	0	0
1373	64	0	0	0	1	0	0	0	0	0	0	0
1466	65	0	0	0	0	1	0	0	0	0	0	0
1477	66	0	0	0	0	0	1	0	0	0	0	0
1466	67	0	0	0	0	0	0	1	0	0	0	0
1182	68	0	0	0	0	0	0	0	1	0	0	0
1208	69	0	0	0	0	0	0	0	0	1	0	0
1132	70	0	0	0	0	0	0	0	0	0	1	0
1094	71	0	0	0	0	0	0	0	0	0	0	1
1061	72	0	0	0	0	0	0	0	0	0	0	0
1018	73	1	0	0	0	0	0	0	0	0	0	0
1233	74	0	1	0	0	0	0	0	0	0	0	0
1112	75	0	0	1	0	0	0	0	0	0	0	0
1107	76	0	0	0	1	0	0	0	0	0	0	0
1305	77	0	0	0	0	1	0	0	0	0	0	0
1181	78	0	0	0	0	0	1	0	0	0	0	0
1391	79	0	0	0	0	0	0	1	0	0	0	0
1324	80	0	0	0	0	0	0	0	1	0	0	0
1259	81	0	0	0	0	0	0	0	0	1	0	0
1236	82	0	0	0	0	0	0	0	0	0	1	0
