Revenue	Use	Charge	Customer
1.930000000e+001	1.041300000e+004	1.330000000e+000	1.398810000e+005
2.040000000e+001	1.112900000e+004	1.290000000e+000	1.428060000e+005
2.090000000e+001	1.136100000e+004	1.250000000e+000	1.466160000e+005
2.190000000e+001	1.196000000e+004	1.210000000e+000	1.516400000e+005
2.340000000e+001	1.249800000e+004	1.190000000e+000	1.572050000e+005
2.450000000e+001	1.266700000e+004	1.190000000e+000	1.623280000e+005
2.580000000e+001	1.285700000e+004	1.210000000e+000	1.665580000e+005
3.050000000e+001	1.384300000e+004	1.290000000e+000	1.703170000e+005
3.330000000e+001	1.422300000e+004	1.330000000e+000	1.755360000e+005
3.720000000e+001	1.442700000e+004	1.420000000e+000	1.815530000e+005
4.250000000e+001	1.487800000e+004	1.520000000e+000	1.883250000e+005
4.880000000e+001	1.576300000e+004	1.590000000e+000	1.942370000e+005
5.540000000e+001	1.513000000e+004	1.840000000e+000	1.988470000e+005
6.430000000e+001	1.469700000e+004	2.170000000e+000	2.014650000e+005
7.890000000e+001	1.522100000e+004	2.550000000e+000	2.034440000e+005
5.650000000e+001	1.416600000e+004	2.970000000e+000	2.055330000e+005
1.146000000e+002	1.485400000e+004	3.700000000e+000	2.085740000e+005
1.297000000e+002	1.499700000e+004	4.100000000e+000	2.108110000e+005
1.261000000e+002	1.367400000e+004	4.340000000e+000	2.128650000e+005
1.320000000e+002	1.306200000e+004	4.710000000e+000	2.144790000e+005
1.381000000e+002	1.328400000e+004	4.820000000e+000	2.156100000e+005
1.412000000e+002	1.353100000e+004	4.810000000e+000	2.171640000e+005
1.437000000e+002	1.358900000e+004	4.810000000e+000	2.199680000e+005
1.492000000e+002	1.380000000e+004	4.840000000e+000	2.233640000e+005
1.461000000e+002	1.328700000e+004	4.830000000e+000	2.275750000e+005
1.539000000e+002	1.340600000e+004	4.910000000e+000	2.337950000e+005
1.469000000e+002	1.266100000e+004	4.840000000e+000	2.397330000e+005
1.568000000e+002	1.243400000e+004	4.980000000e+000	2.533640000e+005
