Share	Earnings	Dividend	Payout
2.647200000e+004	1.680000000e+000	1.210000000e+000	7.200000000e+001
2.877000000e+004	1.700000000e+000	1.280000000e+000	7.300000000e+001
2.968100000e+004	1.800000000e+000	1.320000000e+000	7.300000000e+001
3.048100000e+004	1.860000000e+000	1.360000000e+000	7.200000000e+001
3.011100000e+004	1.960000000e+000	1.390000000e+000	7.100000000e+001
3.105200000e+004	2.020000000e+000	1.440000000e+000	7.100000000e+001
3.084500000e+004	2.110000000e+000	1.490000000e+000	7.100000000e+001
3.201200000e+004	2.420000000e+000	1.530000000e+000	6.300000000e+001
3.284600000e+004	2.790000000e+000	1.650000000e+000	5.500000000e+001
3.290900000e+004	2.380000000e+000	1.760000000e+000	7.400000000e+001
3.459300000e+004	2.950000000e+000	1.940000000e+000	6.100000000e+001
3.435900000e+004	2.780000000e+000	2.080000000e+000	7.500000000e+001
3.616100000e+004	2.330000000e+000	2.160000000e+000	9.300000000e+001
3.947400000e+004	3.290000000e+000	2.280000000e+000	6.900000000e+001
4.627800000e+004	3.170000000e+000	2.400000000e+000	7.600000000e+001
4.767200000e+004	3.020000000e+000	2.480000000e+000	8.200000000e+001
4.546200000e+004	2.460000000e+000	2.480000000e+000	1.010000000e+002
4.331300000e+004	3.030000000e+000	2.480000000e+000	8.200000000e+001
4.136800000e+004	2.060000000e+000	2.480000000e+000	1.200000000e+002
3.868600000e+004	2.310000000e+000	2.480000000e+000	1.070000000e+002
3.707200000e+004	2.540000000e+000	2.480000000e+000	9.800000000e+001
3.696800000e+004	2.700000000e+000	2.480000000e+000	9.200000000e+001
3.434800000e+004	3.460000000e+000	2.480000000e+000	7.200000000e+001
3.405800000e+004	2.680000000e+000	2.480000000e+000	9.300000000e+001
3.437500000e+004	2.740000000e+000	2.480000000e+000	9.100000000e+001
3.396800000e+004	2.880000000e+000	2.480000000e+000	8.600000000e+001
3.412000000e+004	2.560000000e+000	2.480000000e+000	9.700000000e+001
3.313800000e+004	2.820000000e+000	2.480000000e+000	8.800000000e+001
