Pass.	Time
2.280000000e+001	1.000000000e+000
2.610000000e+001	2.000000000e+000
2.940000000e+001	3.000000000e+000
3.450000000e+001	4.000000000e+000
3.760000000e+001	5.000000000e+000
4.030000000e+001	6.000000000e+000
3.950000000e+001	7.000000000e+000
4.540000000e+001	8.000000000e+000
4.630000000e+001	9.000000000e+000
4.580000000e+001	1.000000000e+001
4.800000000e+001	1.100000000e+001
5.460000000e+001	1.200000000e+001
6.190000000e+001	1.300000000e+001
6.990000000e+001	1.400000000e+001
7.990000000e+001	1.500000000e+001
9.630000000e+001	1.600000000e+001
1.090000000e+002	1.700000000e+001
1.160000000e+002	1.800000000e+001
1.172000000e+002	1.900000000e+001
1.249000000e+002	2.000000000e+001
1.366000000e+002	2.100000000e+001
1.448000000e+002	2.200000000e+001
1.479000000e+002	2.300000000e+001
1.501000000e+002	2.400000000e+001
1.519000000e+002	2.500000000e+001
