Sales	Lg2Permits	Season
1.200000000e+002	1.900000000e+001	0.000000000e+000
8.000000000e+001	3.000000000e+000	0.000000000e+000
4.000000000e+002	3.500000000e+001	1.000000000e+000
2.000000000e+002	1.100000000e+001	1.000000000e+000
7.500000000e+001	1.100000000e+001	0.000000000e+000
1.200000000e+002	1.600000000e+001	0.000000000e+000
2.700000000e+002	3.200000000e+001	1.000000000e+000
1.550000000e+002	1.000000000e+001	1.000000000e+000
1.200000000e+002	1.200000000e+001	0.000000000e+000
1.500000000e+002	2.100000000e+001	0.000000000e+000
6.600000000e+002	7.200000000e+001	1.000000000e+000
2.700000000e+002	3.100000000e+001	1.000000000e+000
2.000000000e+002	1.900000000e+001	0.000000000e+000
2.800000000e+002	1.400000000e+001	0.000000000e+000
8.000000000e+002	7.500000000e+001	1.000000000e+000
3.200000000e+002	4.100000000e+001	1.000000000e+000
