Sales	S2	S3	S4
1.630000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
1.770000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
2.810000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
3.430000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
1.730000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
1.670000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
3.220000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
4.230000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
1.740000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
1.690000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
3.090000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
3.650000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
1.750000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
1.650000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
2.860000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
4.550000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
2.430000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
2.420000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
3.380000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
4.520000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
2.060000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
1.870000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
2.810000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
5.960000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
1.950000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
2.250000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
3.830000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
8.120000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
2.490000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
1.750000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
2.680000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
5.910000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
2.240000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
1.430000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
2.470000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
5.720000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
1.620000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
1.650000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
3.550000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
5.980000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
1.800000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
1.590000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
2.800000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
5.730000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
1.710000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
1.700000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
