Y	X
8.380000000e+001	3.180000000e+001
8.560000000e+001	3.250000000e+001
8.780000000e+001	3.320000000e+001
8.610000000e+001	3.240000000e+001
8.960000000e+001	3.380000000e+001
9.100000000e+001	3.430000000e+001
9.390000000e+001	3.530000000e+001
9.460000000e+001	3.570000000e+001
9.640000000e+001	3.640000000e+002
9.600000000e+001	3.630000000e+001
9.820000000e+001	3.710000000e+001
9.720000000e+001	3.660000000e+001
1.001000000e+002	3.760000000e+001
1.026000000e+002	3.830000000e+001
1.054000000e+002	3.930000000e+001
1.079000000e+002	4.020000000e+001
1.101000000e+002	4.110000000e+001
1.111000000e+002	4.140000000e+001
1.101000000e+002	4.110000000e+001
1.111000000e+002	4.140000000e+001
