Savings	Income	WarYear
2.000000000e+000	6.000000000e+001	0.000000000e+000
4.000000000e+000	6.900000000e+001	0.000000000e+000
4.000000000e+000	7.400000000e+001	0.000000000e+000
1.000000000e+000	6.800000000e+001	0.000000000e+000
3.000000000e+000	7.300000000e+001	0.000000000e+000
4.000000000e+000	7.800000000e+001	0.000000000e+000
1.100000000e+001	9.600000000e+001	1.000000000e+000
2.800000000e+001	1.230000000e+002	1.000000000e+000
3.300000000e+001	1.510000000e+002	1.000000000e+000
3.700000000e+001	1.650000000e+002	1.000000000e+000
3.000000000e+001	1.710000000e+002	1.000000000e+000
1.500000000e+001	1.790000000e+002	0.000000000e+000
7.000000000e+000	1.910000000e+002	0.000000000e+000
1.300000000e+001	2.100000000e+002	0.000000000e+000
9.000000000e+000	2.070000000e+002	0.000000000e+000
1.300000000e+001	2.790000000e+002	0.000000000e+000
1.800000000e+001	2.570000000e+002	0.000000000e+000
1.900000000e+001	2.730000000e+002	0.000000000e+000
2.000000000e+001	2.880000000e+002	0.000000000e+000
1.900000000e+001	2.900000000e+002	0.000000000e+000
