Gallons	Price	Pop.
7.880000000e+001	3.900000000e-001	2.119000000e+002
8.510000000e+001	5.300000000e-001	2.139000000e+002
7.640000000e+001	5.700000000e-001	2.160000000e+002
7.970000000e+001	5.900000000e-001	2.180000000e+002
8.040000000e+001	6.200000000e-001	2.202000000e+002
8.170000000e+001	6.300000000e-001	2.226000000e+002
7.710000000e+001	8.500000000e-001	2.251000000e+002
7.190000000e+001	1.190000000e+000	2.277000000e+002
7.100000000e+001	1.330000000e+000	2.301000000e+002
7.010000000e+001	1.260000000e+000	2.325000000e+002
6.990000000e+001	1.220000000e+000	2.348000000e+002
6.870000000e+001	1.210000000e+000	2.363000000e+002
6.930000000e+001	1.160000000e+000	2.385000000e+002
7.140000000e+001	9.200000000e-001	2.407000000e+002
7.060000000e+001	9.500000000e-001	2.428000000e+002
7.170000000e+001	9.500000000e-001	2.451000000e+002
