Sales	Income
2.950000000e+002	2.734000000e+002
4.000000000e+002	2.913000000e+002
3.900000000e+002	3.069000000e+002
4.250000000e+002	3.171000000e+002
5.470000000e+002	3.361000000e+002
5.550000000e+002	3.494000000e+002
6.200000000e+002	3.629000000e+002
7.200000000e+002	3.839000000e+002
8.800000000e+002	4.028000000e+002
1.050000000e+003	4.370000000e+002
1.290000000e+003	4.722000000e+002
1.528000000e+003	5.104000000e+002
1.586000000e+003	5.445000000e+002
1.960000000e+003	5.881000000e+002
2.118000000e+003	6.304000000e+002
2.116000000e+003	6.859000000e+002
2.477000000e+003	7.428000000e+002
3.199000000e+003	8.013000000e+002
3.702000000e+003	9.031000000e+002
3.316000000e+003	9.836000000e+002
2.702000000e+003	1.076700000e+003
