Year	Sales	Income	Rate	Saleslag
1.990000000e+003	8.000000000e+000	3.361000000e+002	5.500000000e+000	
1.991000000e+003	8.200000000e+000	3.494000000e+002	5.500000000e+000	8.000000000e+000
1.992000000e+003	8.500000000e+000	3.629000000e+002	6.700000000e+000	8.200000000e+000
1.993000000e+003	9.200000000e+000	3.839000000e+002	5.500000000e+000	8.500000000e+000
1.994000000e+003	1.020000000e+001	4.028000000e+002	5.700000000e+000	9.200000000e+000
1.995000000e+003	1.140000000e+001	4.370000000e+002	5.200000000e+000	1.020000000e+001
1.996000000e+003	1.280000000e+001	4.722000000e+002	4.500000000e+000	1.140000000e+001
1.997000000e+003	1.360000000e+001	5.104000000e+002	3.800000000e+000	1.280000000e+001
1.998000000e+003	1.460000000e+001	5.445000000e+002	3.800000000e+000	1.360000000e+001
1.999000000e+003	1.640000000e+001	5.881000000e+002	3.600000000e+000	1.460000000e+001
2.000000000e+003	1.780000000e+001	6.304000000e+002	3.500000000e+000	1.640000000e+001
2.001000000e+003	1.860000000e+001	6.859000000e+002	4.900000000e+000	1.780000000e+001
2.002000000e+003	2.000000000e+001	7.428000000e+002	5.900000000e+000	1.860000000e+001
2.003000000e+003	2.190000000e+001	8.013000000e+002	5.600000000e+000	2.000000000e+001
2.004000000e+003	2.490000000e+001	9.031000000e+002	4.900000000e+000	2.190000000e+001
2.005000000e+003	2.730000000e+001	9.836000000e+002	5.600000000e+000	2.490000000e+001
2.006000000e+003	2.910000000e+001	1.076700000e+003	8.500000000e+000	2.730000000e+001
