Year	Sales	Income
1.976000000e+003	3.307000000e+003	2.734000000e+002
1.977000000e+003	3.556000000e+003	2.913000000e+002
1.978000000e+003	3.601000000e+003	3.069000000e+002
1.979000000e+003	3.721000000e+003	3.171000000e+002
1.980000000e+003	4.036000000e+003	3.361000000e+002
1.981000000e+003	4.134000000e+003	3.494000000e+002
1.982000000e+003	4.268000000e+003	3.629000000e+002
1.983000000e+003	4.578000000e+003	3.839000000e+002
1.984000000e+003	5.093000000e+003	4.028000000e+002
1.985000000e+003	5.716000000e+003	4.370000000e+002
1.986000000e+003	6.357000000e+003	4.722000000e+002
1.987000000e+003	6.769000000e+003	5.104000000e+002
1.988000000e+003	7.296000000e+003	5.445000000e+002
1.989000000e+003	8.178000000e+003	5.881000000e+002
1.990000000e+003	8.844000000e+003	6.304000000e+002
1.991000000e+003	9.251000000e+003	6.859000000e+002
1.992000000e+003	1.000600000e+004	7.428000000e+002
1.993000000e+003	1.120000000e+004	8.013000000e+002
1.994000000e+003	1.250000000e+004	9.031000000e+002
1.995000000e+003	1.310100000e+004	9.836000000e+002
1.996000000e+003	1.364000000e+004	1.076700000e+003
