Hours	Time	2nd Qt.	3rd Qt.	4th Qt.
1.071000000e+003	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
6.480000000e+002	2.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000
4.800000000e+002	3.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000
7.460000000e+002	4.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000
9.650000000e+002	5.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
6.610000000e+002	6.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000
5.010000000e+002	7.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000
7.680000000e+002	8.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000
1.065000000e+003	9.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000
6.670000000e+002	1.000000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
4.860000000e+002	1.100000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
7.800000000e+002	1.200000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
9.260000000e+002	1.300000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
6.180000000e+002	1.400000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
4.830000000e+002	1.500000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
7.570000000e+002	1.600000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
1.047000000e+003	1.700000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
6.670000000e+002	1.800000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
4.950000000e+002	1.900000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
7.940000000e+002	2.000000000e+001	0.000000000e+000	0.000000000e+000	1.000000000e+000
1.068000000e+003	2.100000000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000
6.250000000e+002	2.200000000e+001	1.000000000e+000	0.000000000e+000	0.000000000e+000
4.990000000e+002	2.300000000e+001	0.000000000e+000	1.000000000e+000	0.000000000e+000
