TotalVisits	FiscalYr
725	1
789	1
893	1
823	1
917	1
811	1
1048	1
970	1
1082	1
1028	1
1098	1
1062	1
899	2
1022	2
895	2
828	2
1011	2
868	2
991	2
970	2
934	2
784	2
1028	2
956	2
916	3
988	3
921	3
865	3
998	3
963	3
992	3
1118	3
1041	3
1057	3
1200	3
1062	3
1061	4
1049	4
829	4
1029	4
1120	4
1084	4
1307	4
1458	4
1295	4
1412	4
1553	4
1480	4
1554	5
1472	5
1326	5
1231	5
1251	5
1092	5
1429	5
1399	5
1341	5
1409	5
1367	5
1483	5
1492	6
1650	6
1454	6
1373	6
1466	6
1477	6
1466	6
1182	6
1208	6
1132	6
1094	6
1061	6
1018	7
1233	7
1112	7
1107	7
1305	7
1181	7
1391	7
1324	7
1259	7
1236	7
1227	7
1294	7
1083	8
1404	8
1329	8
1107	8
1313	8
1156	8
1184	8
1404	8
1310	8
1200	8
1396	8
1373	8
1259	9
1295	9
1100	9
1097	9
1357	9
1256	9
1350	9
1318	9
1271	9
1439	9
1441	9
1352	9
1339	10
1351	10
1197	10
1333	10
1339	10
1307	10
